Date,Open,High,Low,Close
5-Dec-17,32814.03,32893.05,32682.52,32802.44
6-Dec-17,32798.5,32804.75,32565.16,32597.18
7-Dec-17,32615.05,32992.45,32598.12,32949.21
8-Dec-17,33034.2,33285.68,33034.2,33250.3
11-Dec-17,33317.72,33535.97,33313.17,33455.79
12-Dec-17,33426.59,33458.41,33179.75,33227.99
13-Dec-17,33229.73,33404.26,32988.82,33053.04
14-Dec-17,33114.69,33321.52,32886.93,33246.7
15-Dec-17,33456.02,33621.96,33405.82,33462.97
18-Dec-17,33364.52,33801.9,32595.63,33601.68
19-Dec-17,33732.08,33862.07,33666.62,33836.74
20-Dec-17,33928.59,33956.31,33754.94,33777.38
21-Dec-17,33826.25,33860.99,33707.8,33756.28
22-Dec-17,33768.47,33964.28,33767.73,33940.3
26-Dec-17,33980.76,34061.88,33889.75,34010.61
27-Dec-17,34087.32,34137.97,33839.51,33911.81
28-Dec-17,33928.86,34023.65,33752.03,33848.03
29-Dec-17,33889.39,34086.05,33889.39,34056.83
1-Jan-18,34059.99,34101.13,33766.15,33812.75
2-Jan-18,33913.55,33964.14,33703.37,33812.26
3-Jan-18,33929.61,33998.37,33765.43,33793.38
4-Jan-18,33912.49,33995.4,33802.13,33969.64
5-Jan-18,34021.27,34188.85,34020.84,34153.85
8-Jan-18,34216.33,34385.67,34216.33,34352.79
9-Jan-18,34431.61,34488.03,34343.41,34443.19
10-Jan-18,34538.78,34565.63,34311.63,34433.07
11-Jan-18,34471.48,34558.88,34400.61,34503.49
12-Jan-18,34578.99,34638.42,34342.16,34592.39
15-Jan-18,34687.21,34963.69,34687.21,34843.51
16-Jan-18,34877.71,34936.03,34735.55,34771.05
17-Jan-18,34753.8,35118.61,34700.82,35081.82
18-Jan-18,35366.45,35507.36,35166.44,35260.29
19-Jan-18,35339.11,35542.17,35221.16,35511.58
22-Jan-18,35613.97,35827.7,35544.68,35798.01
23-Jan-18,35868.19,36170.83,35863.98,36139.98
24-Jan-18,36161.62,36268.19,36036.51,36161.64
25-Jan-18,36208.39,36247.02,35823.35,36050.44
29-Jan-18,36106.36,36443.98,36093.36,36283.25
30-Jan-18,36277.12,36291.82,35993.41,36033.73
31-Jan-18,35951.64,36050.69,35818.41,35965.02
1-Feb-18,36048.99,36256.83,35501.74,35906.66
2-Feb-18,35707.6,35738.13,35006.41,35066.75
5-Feb-18,34718.85,34874.17,34520.8,34757.16
6-Feb-18,33753.78,34521.01,33482.81,34195.94
7-Feb-18,34563.3,34666.33,34008.42,34082.71
8-Feb-18,34208.11,34634.35,34108.76,34413.16
9-Feb-18,34002.45,34070.73,33849.65,34005.76
12-Feb-18,34203.34,34351.34,34115.12,34300.47
14-Feb-18,34436.98,34473.43,34028.68,34155.95
15-Feb-18,34207.57,34535.08,34186.01,34297.47
16-Feb-18,34411.24,34508.24,33957.33,34010.76
19-Feb-18,34053.95,34122.96,33554.37,33774.66
20-Feb-18,33913.94,33960.95,33657.89,33703.59
21-Feb-18,33813.83,33911.36,33702.5,33844.86
22-Feb-18,33817.09,33868.74,33691.42,33819.5
23-Feb-18,33832,34167.6,33832,34142.15
26-Feb-18,34225.72,34483.39,34225.72,34445.75
27-Feb-18,34558.56,34610.79,34314.87,34346.39
28-Feb-18,34155.63,34302.74,34076.45,34184.04
1-Mar-18,34141.22,34278.63,34015.79,34046.94
5-Mar-18,34034.28,34034.28,33653.41,33746.78
6-Mar-18,34047.43,34060.13,33209.76,33317.2
7-Mar-18,33279.39,33331.21,32991.14,33033.09
8-Mar-18,33244.52,33439.97,33037.48,33351.57
9-Mar-18,33465.05,33519.49,33256.42,33307.14
12-Mar-18,33468.16,33962.48,33468.16,33917.94
13-Mar-18,33818.22,34077.32,33722.96,33856.78
14-Mar-18,33733.55,33875.15,33580.69,33835.74
15-Mar-18,33843.47,33866.28,33637.28,33685.54
16-Mar-18,33685.86,33691.32,33119.92,33176
19-Mar-18,33268.97,33275.79,32856.54,32923.12
20-Mar-18,32876.48,33102.74,32810.86,32996.76
21-Mar-18,33090.82,33354.93,33070.53,33136.18
22-Mar-18,33206.99,33281.77,32963.31,33006.27
23-Mar-18,32650.89,32720.03,32483.84,32596.54
26-Mar-18,32536.44,33115.41,32515.17,33066.41
27-Mar-18,33172.98,33371.04,33077.13,33174.39
28-Mar-18,33098.09,33104.11,32917.66,32968.68
2-Apr-18,33030.87,33289.34,32997.88,33255.36
3-Apr-18,33197.42,33402.94,33153.83,33370.63
4-Apr-18,33437.52,33505.53,32972.56,33019.07
5-Apr-18,33289.96,33637.46,33267.86,33596.8
6-Apr-18,33608.59,33697.51,33501.37,33626.97
9-Apr-18,33653.61,33846.5,33578.91,33788.54
10-Apr-18,33880.11,33949.98,33813.3,33880.25
11-Apr-18,33970.35,33981.54,33750.74,33940.44
12-Apr-18,33987.55,34177.44,33924.88,34101.13
13-Apr-18,34167.53,34313.14,34103.53,34192.65
16-Apr-18,33944.73,34341.46,33899.34,34305.43
17-Apr-18,34381.8,34434.14,34229.83,34395.06
18-Apr-18,34443.42,34591.81,34270.04,34331.68
19-Apr-18,34403.67,34478.82,34358.91,34427.29
20-Apr-18,34434.14,34487.33,34311.29,34415.58
23-Apr-18,34493.69,34663.95,34259.27,34450.77
24-Apr-18,34491.38,34706.71,34465.49,34616.64
25-Apr-18,34593.17,34631.27,34400.56,34501.27
26-Apr-18,34532.95,34747.97,34505.62,34713.6
27-Apr-18,34747.04,35065.37,34744.73,34969.7
30-Apr-18,35021.2,35213.3,35004,35160.36
2-May-18,35328.91,35357.15,35072.42,35176.42
3-May-18,35257.31,35257.31,35020.08,35103.14
4-May-18,35144.96,35206.55,34847.61,34915.38
7-May-18,34983.59,35259.81,34977.74,35208.14
8-May-18,35349.85,35388.87,35136.01,35216.32
9-May-18,35198.08,35404.83,35134.2,35319.35
10-May-18,35353.96,35500.76,35203.85,35246.27
11-May-18,35287.99,35596.15,35262.06,35535.79
14-May-18,35555.83,35642.72,35456.56,35556.71
15-May-18,35537.85,35993.53,35497.92,35543.94
16-May-18,35452.35,35543.89,35241.63,35387.88
17-May-18,35483.62,35510.01,35087.82,35149.12
18-May-18,35143.59,35163.11,34821.62,34848.3
21-May-18,34873.16,34973.95,34593.82,34616.13
22-May-18,34601.49,34754.6,34550.22,34651.24
23-May-18,34656.63,34668.47,34302.89,34344.91
24-May-18,34404.14,34741.46,34367.83,34663.11
25-May-18,34753.47,35017.93,34700.52,34924.87
28-May-18,35074.32,35240.96,35006.5,35165.48
29-May-18,35213.14,35234.14,34922.18,34949.24
30-May-18,34876.13,35017.45,34735.11,34906.11
31-May-18,35083.81,35416.03,34926.08,35322.38
1-Jun-18,35373.98,35438.22,35177.35,35227.26
4-Jun-18,35503.24,35555.59,34982.25,35011.89
5-Jun-18,35029.45,35073.12,34784.68,34903.21
6-Jun-18,34932.49,35230.54,34896.37,35178.88
7-Jun-18,35278.38,35628.49,35278.38,35463.08
8-Jun-18,35406.47,35484.94,35260,35443.67
11-Jun-18,35472.59,35704.84,35444.49,35483.47
12-Jun-18,35525.3,35743.08,35479.07,35692.52
13-Jun-18,35835.44,35877.41,35715.96,35739.16
14-Jun-18,35743.1,35749.88,35488.55,35599.82
15-Jun-18,35656.26,35675.2,35419.68,35622.14
18-Jun-18,35698.43,35721.55,35518.73,35548.26
19-Jun-18,35552.47,35552.47,35249.06,35286.74
20-Jun-18,35329.61,35571.37,35329.51,35547.33
21-Jun-18,35644.05,35678.69,35396.97,35432.39
22-Jun-18,35428.42,35741.26,35344.49,35689.6
25-Jun-18,35783.75,35806.97,35430.11,35470.35
26-Jun-18,35355.72,35616.64,35338.09,35490.04
27-Jun-18,35543.89,35618.85,35154.21,35217.11
28-Jun-18,35207.19,35282.4,34937.15,35037.64
29-Jun-18,35128.16,35459.05,35099.65,35423.48
2-Jul-18,35545.22,35578.24,35106.57,35264.41
3-Jul-18,35344.21,35445.21,35195.63,35378.6
4-Jul-18,35385.52,35667.31,35309.67,35645.4
5-Jul-18,35703.17,35748.26,35517.79,35574.55
6-Jul-18,35543.66,35799.71,35532.21,35657.86
9-Jul-18,35835.1,35977.37,35779.72,35934.72
10-Jul-18,36068.27,36274.33,36019.63,36239.62
11-Jul-18,36299.26,36362.3,36169.7,36265.93
12-Jul-18,36424.23,36699.53,36422.08,36548.41
13-Jul-18,36635.14,36740.07,36501.61,36541.63
16-Jul-18,36658.71,36658.71,36298.94,36323.77
17-Jul-18,36390.99,36549.55,36261.78,36519.96
18-Jul-18,36722.41,36747.87,36320.92,36373.44
19-Jul-18,36509.08,36515.58,36279.33,36351.23
20-Jul-18,36377.03,36567.34,36335.61,36496.37
23-Jul-18,36501.05,36749.69,36491.83,36718.6
24-Jul-18,36859.39,36902.06,36709.72,36825.1
25-Jul-18,36928.06,36947.18,36803.15,36858.23
26-Jul-18,36928.38,37061.62,36852.53,36984.64
27-Jul-18,37253.86,37368.62,37134.88,37336.85
30-Jul-18,37491.39,37533.5,37292.45,37494.4
31-Jul-18,37534.95,37644.59,37298.75,37606.58
1-Aug-18,37643.87,37711.87,37432.91,37521.62
2-Aug-18,37529.69,37529.69,37128.99,37165.16
3-Aug-18,37327.16,37582.27,37319.61,37556.16
6-Aug-18,37714.7,37805.25,37643.29,37691.89
7-Aug-18,37849.21,37876.87,37586.88,37665.8
8-Aug-18,37756.24,37931.42,37641.4,37887.56
9-Aug-18,37994.51,38076.23,37939.28,38024.37
10-Aug-18,38050.07,38051.45,37815.75,37869.23
13-Aug-18,37693.19,37799.54,37559.26,37644.9
14-Aug-18,37749.59,37932.4,37689.71,37852
16-Aug-18,37796.01,37891.92,37634.13,37663.56
