Pclass,Age,SibSp,Parch,Fare,Sex_female,Sex_male,Embarked_C,Embarked_Q,Embarked_S
3,51.0,0,0,29.36,1,0,0,0,1
3,9.0,1,1,32.74,1,0,0,0,1
1,47.0,1,2,86.02,1,0,0,0,1
3,24.0,0,0,9.23,0,1,0,0,1
2,21.0,0,0,15.75,1,0,0,0,1
3,53.0,0,0,9.62,1,0,1,0,0
3,74.0,0,2,74.6,1,0,0,0,1
2,60.0,0,0,26.63,0,1,0,0,1
3,30.0,3,0,9.77,0,1,0,0,1
1,68.0,1,2,30.4,0,1,1,0,0
2,53.0,0,2,27.62,1,0,1,0,0
1,37.0,1,0,79.62,0,1,0,0,1
2,40.0,0,0,13.21,0,1,0,0,1
1,66.0,0,0,24.77,1,0,0,1,0
1,33.0,3,0,24.22,0,1,0,0,1
3,57.0,0,4,12.89,0,1,0,0,1
1,23.0,0,0,262.83,0,1,1,0,0
2,9.0,0,0,7.01,0,1,0,0,1
3,23.0,0,0,28.94,0,1,0,0,1
2,22.0,0,0,11.63,0,1,0,0,1
1,54.0,0,0,231.03,1,0,1,0,0
3,68.0,0,0,24.06,0,1,0,1,0
3,31.0,0,0,8.37,0,1,0,0,1
1,32.0,0,0,28.33,1,0,0,1,0
3,39.0,0,2,7.84,0,1,0,0,1
1,54.0,0,0,32.08,0,1,0,0,1
2,22.0,0,0,25.41,0,1,1,0,0
2,34.0,0,0,9.05,0,1,0,0,1
1,64.0,0,1,392.97,1,0,1,0,0
2,39.0,1,1,72.43,1,0,0,0,1
3,29.0,0,0,24.72,0,1,0,0,1
3,25.0,0,0,11.21,0,1,0,0,1
3,36.0,0,0,10.38,0,1,0,0,1
3,57.0,0,0,27.96,1,0,1,0,0
3,27.0,0,0,12.35,1,0,0,0,1
2,26.0,0,0,4.22,1,0,0,0,1
3,0.25,4,0,8.97,0,1,0,0,1
1,39.0,0,0,31.09,1,0,1,0,0
1,38.0,0,0,27.22,1,0,0,0,1
2,49.0,2,0,29.61,0,1,0,0,1
3,62.0,2,0,7.3,0,1,0,1,0
1,38.0,0,0,64.19,1,0,0,0,1
1,45.0,1,0,26.62,0,1,0,0,1
2,39.0,0,1,11.32,1,0,1,0,0
3,34.0,0,0,24.42,1,0,0,0,1
2,60.0,0,1,34.24,1,0,0,0,1
3,47.0,0,0,6.15,0,1,0,0,1
1,60.0,0,0,129.16,1,0,1,0,0
1,39.0,0,0,44.62,1,0,0,1,0
2,53.0,1,0,11.95,1,0,0,0,1
3,19.0,0,1,8.77,0,1,0,0,1
3,9.0,0,0,29.78,1,0,0,0,1
3,35.0,0,0,9.88,0,1,0,0,1
2,47.0,0,0,27.07,1,0,0,0,1
1,56.0,0,0,63.69,1,0,1,0,0
1,54.0,0,0,274.27,1,0,0,0,1
1,23.0,0,0,203.69,1,0,0,0,1
3,44.0,0,0,9.14,1,0,0,0,1
1,32.0,0,0,6.17,1,0,1,0,0
1,42.0,0,0,58.22,0,1,0,0,1
1,28.0,1,0,30.73,0,1,1,0,0
2,41.0,2,1,34.36,1,0,1,0,0
3,39.0,3,1,31.51,1,0,0,0,1
3,22.0,0,0,9.43,1,0,0,0,1
2,27.0,0,0,4.96,1,0,1,0,0
3,60.0,0,0,14.84,1,0,0,0,1
3,38.0,0,0,7.28,0,1,0,0,1
1,37.0,0,0,8.12,0,1,1,0,0
1,52.0,1,2,24.77,0,1,0,0,1
3,37.0,0,1,26.37,1,0,0,0,1
3,29.0,0,0,8.58,0,1,0,0,1
1,47.0,1,1,81.0,0,1,0,0,1
3,36.0,0,0,7.06,0,1,0,0,1
1,55.0,0,0,146.71,0,1,1,0,0
1,59.5,2,0,193.2,1,0,0,1,0
2,39.0,0,0,8.06,1,0,1,0,0
3,4.0,1,2,33.51,0,1,0,0,1
3,46.0,0,0,10.18,0,1,1,0,0
3,24.0,0,0,8.24,0,1,0,0,1
2,6.0,0,1,33.53,1,0,0,0,1
2,53.0,1,1,26.46,0,1,0,0,1
1,23.0,1,0,29.17,0,1,0,0,1
3,38.0,0,0,9.65,0,1,0,0,1
1,32.0,2,0,64.51,0,1,0,0,1
1,6.0,1,2,29.74,0,1,0,0,1
3,47.0,0,0,9.1,0,1,0,0,1
1,18.0,1,0,29.52,0,1,0,0,1
1,23.0,2,2,28.35,0,1,0,0,1
1,32.0,3,0,31.59,0,1,0,0,1
3,23.0,0,0,7.79,1,0,0,0,1
3,69.0,0,1,9.37,1,0,0,0,1
3,20.0,0,0,8.88,0,1,0,0,1
1,40.0,0,0,13.22,1,0,1,0,0
2,53.0,0,1,33.26,1,0,0,0,1
1,33.0,2,0,25.86,0,1,1,0,0
2,26.0,0,0,5.59,0,1,0,0,1
1,32.0,0,0,307.08,1,0,1,0,0
3,44.0,0,0,8.48,0,1,1,0,0
3,8.0,0,2,9.95,0,1,0,0,1
1,21.0,0,1,73.75,1,0,0,0,1
1,34.0,1,2,80.9,0,1,0,0,1
2,30.0,0,0,26.03,1,0,0,0,1
1,26.0,1,2,78.62,0,1,0,0,1
1,3.0,1,0,61.91,0,1,0,0,1
1,41.0,0,0,32.6,1,0,1,0,0
3,67.0,0,0,6.0,1,0,0,0,1
3,21.0,0,0,6.61,0,1,0,0,1
1,39.0,0,0,12.4,1,0,1,0,0
3,61.0,0,0,25.67,0,1,0,0,1
3,26.0,0,0,8.72,0,1,0,0,1
3,22.0,0,0,10.69,0,1,0,0,1
1,37.0,0,0,10.81,0,1,0,0,1
1,51.0,1,0,6.15,0,1,0,0,1
2,18.0,1,2,13.6,0,1,0,0,1
2,68.0,0,0,29.84,1,0,1,0,0
3,19.0,1,0,9.57,0,1,0,0,1
3,30.0,0,0,10.39,1,0,0,0,1
1,54.0,0,0,38.83,1,0,1,0,0
1,56.0,0,2,180.32,0,1,0,0,1
3,34.0,0,0,24.9,0,1,0,0,1
2,39.0,3,0,10.63,0,1,0,0,1
1,27.0,1,0,74.54,1,0,0,0,1
3,22.0,0,0,11.12,1,0,0,0,1
3,30.0,2,2,29.31,0,1,0,0,1
3,25.0,0,0,11.95,1,0,0,0,1
2,42.0,1,0,12.38,0,1,1,0,0
2,22.0,0,1,12.95,1,0,1,0,0
2,2.5,1,2,34.35,1,0,0,0,1
1,55.0,0,2,20.8,0,1,0,0,1
1,36.0,1,2,85.77,0,1,1,0,0
1,67.0,0,0,228.4,1,0,1,0,0
3,6.0,1,2,29.78,0,1,0,0,1
2,60.0,2,2,22.54,0,1,0,0,1
3,28.0,0,0,10.17,0,1,0,0,1
3,37.0,0,0,11.26,0,1,0,0,1
3,4.0,1,2,10.54,0,1,0,0,1
2,65.0,0,0,21.14,1,0,0,0,1
1,54.0,1,2,30.57,0,1,0,0,1
2,67.0,0,0,7.73,1,0,1,0,0
3,40.0,0,0,10.49,0,1,0,0,1
3,30.0,0,0,7.32,0,1,0,0,1
1,43.0,1,1,216.75,0,1,1,0,0
2,53.0,0,0,22.81,1,0,0,0,1
3,22.0,1,0,13.97,1,0,0,0,1
1,61.0,0,0,72.24,1,0,0,1,0
2,44.0,0,0,28.7,0,1,1,0,0
2,70.0,1,2,59.43,1,0,0,0,1
2,32.0,0,0,11.59,0,1,1,0,0
2,30.0,0,0,19.63,0,1,0,0,1
2,64.0,0,0,7.49,0,1,0,0,1
1,42.0,0,0,26.24,0,1,0,0,1
3,32.0,0,0,12.02,0,1,0,0,1
3,48.0,0,0,9.3,0,1,0,0,1
2,60.0,0,0,8.36,0,1,0,0,1
2,26.0,0,0,23.15,0,1,0,0,1
3,28.0,0,0,6.47,0,1,0,0,1
1,42.0,1,0,276.32,1,0,1,0,0
1,57.0,0,0,59.66,0,1,0,0,1
1,72.0,0,0,218.33,1,0,0,1,0
3,8.0,0,0,6.43,1,0,0,0,1
3,40.0,4,6,62.74,1,0,0,0,1
1,33.0,3,3,23.92,0,1,0,0,1
2,40.0,0,0,8.35,0,1,1,0,0
3,23.0,0,1,22.48,1,0,0,0,1
1,46.0,1,2,89.26,0,1,1,0,0
2,44.0,0,0,9.02,1,0,0,0,1
1,51.0,2,0,27.55,0,1,0,0,1
1,33.0,2,0,26.4,0,1,1,0,0
1,61.0,1,2,73.4,1,0,0,1,0
3,42.0,1,1,26.94,0,1,0,0,1
1,23.0,0,0,29.36,0,1,0,0,1
2,23.0,0,0,12.15,1,0,0,0,1
1,45.0,1,0,73.9,0,1,1,0,0
3,25.0,0,0,11.6,1,0,1,0,0
3,18.0,1,1,59.07,0,1,1,0,0
3,61.0,0,0,8.14,1,0,0,0,1
3,41.0,0,0,9.55,0,1,0,0,1
3,55.0,0,0,12.18,0,1,0,0,1
1,48.0,1,2,74.64,0,1,1,0,0
2,26.0,0,0,6.33,1,0,0,0,1
3,67.0,4,0,11.71,0,1,0,0,1
3,28.0,1,0,11.59,0,1,0,0,1
1,61.0,0,2,79.14,0,1,0,0,1
2,21.0,0,0,7.7,0,1,0,0,1
3,37.0,0,0,76.63,1,0,0,0,1
1,39.0,4,1,81.63,1,0,0,0,1
1,20.0,2,0,67.85,1,0,0,0,1
3,26.0,0,0,8.7,0,1,0,0,1
3,14.0,0,0,9.85,1,0,0,0,1
3,46.0,0,0,9.48,0,1,0,0,1
1,55.0,1,0,71.69,0,1,0,0,1
3,23.0,0,0,13.33,0,1,0,0,1
3,55.0,1,1,31.41,1,0,0,0,1
2,48.0,0,1,12.9,0,1,0,0,1
1,67.0,0,0,28.05,1,0,1,0,0
1,61.0,0,0,28.06,1,0,1,0,0
3,58.0,0,0,9.48,0,1,0,0,1
1,64.0,0,0,26.14,0,1,0,0,1
2,52.0,0,0,16.07,0,1,1,0,0
3,31.0,0,0,9.49,0,1,0,0,1
3,39.0,0,0,27.29,1,0,0,0,1
1,26.0,0,0,80.15,1,0,1,0,0
1,28.0,0,0,74.45,0,1,1,0,0
3,49.0,0,0,6.11,0,1,0,0,1
1,36.0,1,0,122.79,0,1,1,0,0
3,29.0,0,0,8.93,0,1,0,0,1
3,36.0,0,0,24.33,0,1,0,0,1
1,57.0,0,1,30.66,1,0,1,0,0
2,62.0,0,0,8.36,0,1,0,0,1
2,70.0,0,0,25.97,0,1,0,0,1
1,28.0,0,0,32.57,1,0,1,0,0
3,44.0,2,0,11.31,0,1,0,0,1
2,23.0,0,0,25.19,0,1,0,0,1
2,47.0,0,0,10.68,0,1,0,0,1
2,48.0,0,0,90.21,1,0,0,0,1
1,37.0,1,0,27.36,1,0,0,1,0
1,53.0,0,0,171.17,0,1,1,0,0
1,69.0,0,2,79.35,0,1,0,1,0
3,61.0,0,0,18.94,0,1,0,0,1
3,43.0,1,2,33.3,1,0,0,0,1
3,20.0,0,0,13.05,0,1,0,0,1
3,26.0,0,0,6.28,0,1,0,0,1
2,7.0,1,1,27.33,1,0,0,0,1
1,32.0,0,0,29.81,1,0,0,0,1
2,65.0,0,0,23.68,0,1,0,0,1
2,47.0,3,0,22.84,1,0,1,0,0
2,25.0,0,0,26.62,0,1,0,0,1
2,67.0,0,0,7.44,0,1,0,0,1
3,33.0,0,1,21.7,0,1,0,0,1
2,9.0,0,0,23.14,0,1,0,0,1
2,26.0,0,0,5.65,0,1,0,0,1
3,39.0,0,0,22.89,0,1,0,0,1
3,21.0,0,0,6.02,0,1,1,0,0
3,19.0,0,0,7.3,1,0,0,0,1
1,63.0,0,0,24.21,0,1,0,1,0
2,14.0,0,0,13.11,1,0,1,0,0
3,54.0,0,0,9.22,1,0,0,0,1
3,27.0,0,0,12.0,0,1,0,0,1
1,42.0,1,0,11.17,0,1,0,0,1
3,39.0,0,0,6.56,0,1,0,0,1
3,34.0,0,0,8.94,0,1,0,0,1
1,47.0,0,0,26.73,1,0,1,0,0
2,19.0,0,0,16.99,1,0,0,0,1
3,38.0,0,0,8.16,0,1,0,0,1
1,71.0,0,0,10.22,0,1,0,0,1
1,28.0,1,2,11.56,0,1,0,0,1
3,39.0,0,2,26.97,1,0,1,0,0
2,8.0,1,2,33.87,1,0,1,0,0
2,71.0,0,0,26.92,1,0,0,0,1
3,55.0,0,0,11.04,0,1,0,0,1
3,22.0,0,1,16.54,1,0,0,0,1
3,24.0,0,0,7.16,0,1,0,0,1
1,47.0,1,0,143.75,0,1,0,1,0
3,22.0,0,0,22.15,0,1,0,0,1
2,52.0,0,0,11.19,0,1,0,0,1
1,60.0,0,0,344.07,0,1,0,0,1
2,45.0,0,0,9.57,0,1,0,0,1
2,80.0,0,0,28.42,1,0,1,0,0
3,34.0,1,0,27.16,0,1,0,0,1
2,38.0,0,0,90.85,1,0,1,0,0
2,35.0,0,0,23.32,0,1,0,0,1
2,57.0,1,2,205.95,1,0,1,0,0
3,43.0,0,0,8.75,0,1,0,0,1
3,24.0,0,0,9.74,0,1,0,0,1
2,24.0,0,0,6.62,1,0,0,0,1
3,55.0,0,0,8.3,0,1,0,0,1
3,49.0,0,0,11.65,0,1,0,0,1
3,37.0,1,1,31.28,0,1,0,0,1
