,clusters
5151,0
32621,0
58183,3
57607,3
1742,3
49645,0
49247,1
22704,3
26984,3
49300,0
3910,2
21595,3
40707,0
4019,3
4964,4
16054,1
27193,3
16523,1
445,2
18808,3
34116,3
37228,4
58540,3
55609,3
38893,4
42314,2
5960,4
48702,2
383,4
37977,2
43618,2
26113,2
54333,1
52147,3
11280,3
5146,3
28136,3
34769,1
44534,3
26330,2
28665,4
53963,0
16306,3
9683,4
56830,3
5218,3
18431,0
18358,3
13846,0
40338,2
26952,3
29819,0
18905,2
52057,0
47814,3
17563,3
54416,0
641,1
10343,3
17202,3
16046,4
35311,2
41277,3
22893,0
20270,3
36836,4
17424,4
45808,4
13695,1
51724,2
52536,3
12780,1
19533,3
2250,4
13227,0
37390,3
43289,4
51581,2
42201,4
47850,1
9183,0
53382,0
48543,4
38062,3
28223,4
23360,3
30315,1
58353,4
36544,4
32097,1
57262,3
47514,3
51600,0
41417,2
5222,3
4373,4
25302,3
1972,4
45090,3
52519,4
34401,0
51070,3
4943,3
36674,3
40082,0
44535,3
18939,1
17016,4
5616,2
25520,1
51556,1
55824,4
19129,0
49700,0
12462,3
34363,3
7567,0
23690,2
44940,4
4162,3
33201,4
43049,0
1509,3
35909,3
48344,1
40759,4
1608,4
28101,2
57799,4
22477,0
43816,3
43625,1
43545,4
52962,4
43078,0
40710,3
5711,3
15140,4
44069,4
39493,3
7297,0
23235,3
34747,3
37912,3
10568,0
32726,3
9915,4
40676,0
13714,0
43419,4
21944,4
14658,3
53329,4
33763,4
15983,0
56989,4
7828,0
22013,0
33137,2
27084,4
56921,1
26413,3
28493,4
21626,2
15268,4
23162,4
34891,4
42634,1
26667,1
46367,3
12241,3
6559,1
55747,0
22419,4
18371,4
12751,3
2925,1
4800,1
42358,4
56659,2
48523,3
11847,0
27523,1
31135,0
56268,4
53566,1
36078,0
41815,4
35904,0
29802,0
29247,4
21384,4
41763,0
14972,4
51454,0
33181,2
44971,3
49186,0
48776,0
46539,1
10024,1
8654,3
26148,0
3820,1
51558,3
54896,4
38414,4
38554,3
58250,4
48961,4
39821,4
53295,4
2707,3
53001,3
16485,4
50497,1
7561,1
16049,1
6781,0
22239,4
56816,4
48529,4
6481,0
48509,3
11623,1
37747,2
12022,3
54916,0
56906,3
15766,1
13462,3
6887,4
40776,4
40727,3
48623,0
48515,4
10289,1
8481,4
39594,4
38309,3
54382,3
44568,0
34759,3
8271,4
2859,3
44014,4
54544,4
30764,1
43309,3
40300,3
47346,2
7551,0
33160,0
42839,3
27174,3
42956,1
58096,2
27321,1
45813,3
49844,3
5076,3
12994,4
24570,1
12822,0
22034,4
44489,3
13604,3
48853,3
29240,3
16547,2
11534,0
48126,4
27836,3
35282,1
15317,3
45968,0
39391,2
34618,3
12819,1
31831,3
11151,4
10531,3
26468,2
40991,3
5832,4
27793,0
19838,3
852,4
49468,4
51051,0
24990,0
20952,4
3643,3
25539,2
9199,2
15867,3
56973,3
54657,4
57822,1
7360,1
22739,0
10143,3
52672,1
37332,4
26117,4
48580,0
40596,4
20065,1
2418,3
20138,0
311,0
12993,2
5646,2
15641,4
26318,3
17184,2
16802,1
13690,1
19231,4
26802,4
55124,3
46126,4
2739,3
20643,1
34995,4
34188,4
4028,3
22992,3
12299,4
58507,4
57968,2
12423,2
4950,3
30994,4
1387,4
12278,4
3375,4
19706,2
56233,3
53719,1
22713,3
53818,0
42927,3
40750,4
32417,1
17975,2
24859,4
33906,1
32485,0
41132,0
56885,4
10925,0
34395,4
42618,4
40669,0
15570,4
7490,3
57917,3
47297,2
2188,3
52044,0
56690,0
17468,2
32116,4
3847,4
49083,1
28641,0
29320,3
48449,1
13450,3
5944,0
27898,4
3633,2
5780,1
42976,3
57225,4
1612,4
49840,3
30615,4
50071,1
17292,3
26088,3
7052,4
125,3
51452,4
18457,0
25705,3
53612,3
58199,1
13605,1
14000,3
54747,3
49610,2
20663,0
4197,3
37726,3
47793,1
20095,3
41557,4
5993,1
49055,4
57959,3
12353,4
37995,2
3419,4
47123,3
10371,0
44333,4
24803,2
6154,2
48159,2
28360,0
11595,4
21600,0
17751,0
28730,0
35155,0
28135,3
7661,1
42177,3
4486,4
16214,4
9555,2
58556,3
40939,3
44513,3
55319,3
52117,1
37797,3
7003,1
36247,0
4380,0
12793,0
38284,4
16923,3
26569,1
793,4
31657,0
4965,1
10965,4
56323,1
43465,4
36880,4
9739,3
49947,1
12258,4
50399,3
40568,3
50607,4
26675,2
50324,1
41095,0
55101,4
36928,0
2549,3
51489,4
44321,1
3154,4
48767,2
23569,2
7508,3
45743,3
52344,0
19133,3
25590,2
221,3
11438,2
43175,4
51387,3
53457,3
30847,3
28340,2
30038,0
8904,3
49626,2
53378,2
11744,4
2833,0
4314,0
20713,4
44552,1
31978,4
30424,3
26039,2
7207,4
36392,4
7819,3
20488,1
33641,3
35229,4
8476,3
39367,0
17250,0
51288,0
53554,3
36371,4
42004,4
12548,3
41510,3
54737,3
31747,2
33943,0
26229,3
19090,3
16862,2
28035,1
57663,2
36375,0
41975,3
28010,3
43776,0
40882,2
10306,3
24609,3
39817,4
50083,1
44722,0
54221,2
49069,1
11075,4
12170,3
35268,3
4816,4
3153,4
11693,3
16933,1
53608,4
27075,2
46958,3
30506,3
14019,2
44814,4
31809,2
27319,0
7988,1
44095,1
12182,1
31982,2
26753,4
54198,3
4453,3
26988,3
28428,3
3058,3
3837,4
24733,4
55714,3
51036,0
17093,3
9109,3
15961,4
27132,3
103,4
27883,4
34019,0
9918,2
9542,0
2588,3
30229,4
29147,4
4481,3
21338,1
20026,4
12375,3
21908,4
1425,0
8371,4
52873,1
17263,4
6222,3
21855,3
27476,4
24708,3
11020,3
712,4
53794,4
28175,4
39992,3
47433,0
39565,3
40126,1
4695,3
43891,4
30360,4
21107,3
57850,4
49107,1
26256,3
32758,3
25652,4
17784,1
15455,2
36456,2
36887,0
17836,4
42336,2
23892,4
47597,2
20971,2
44975,3
27444,4
5395,3
7725,3
49457,3
33840,0
14591,2
23265,4
18850,3
53819,3
25392,1
17167,0
36459,1
37077,1
13672,2
37607,3
21349,0
18821,2
49208,3
50500,1
33662,0
56057,0
23589,3
14588,1
8404,3
1036,0
16927,3
39909,4
39751,4
55812,2
50229,3
33815,3
15136,2
16544,4
4004,1
45496,0
47822,3
34302,3
36843,4
19655,4
52809,3
23838,0
26665,4
6058,3
31812,4
21487,0
34942,3
49097,2
14068,1
10686,3
58557,4
39639,1
53352,4
57021,2
44820,4
42781,3
33316,0
58611,0
17755,4
54009,3
53572,0
40932,4
56710,3
51520,0
52506,0
38816,0
8201,2
26528,0
50962,3
30047,1
41502,3
21166,1
15035,3
37145,0
52905,3
10155,3
31317,2
31285,0
51027,0
18108,3
14027,0
38026,1
47567,2
55264,4
13233,3
337,2
24845,1
28521,0
2100,1
51364,4
12679,3
3096,1
17429,0
27713,1
51170,3
50877,0
10554,4
21037,3
32884,3
21643,4
34398,1
17396,4
20094,1
43676,4
10828,0
26399,2
43230,3
51185,4
45512,0
57419,3
32216,0
53121,3
4062,2
3645,3
13266,3
9762,4
30964,3
31138,3
18282,2
26082,0
52732,3
40328,4
9125,3
9642,0
1871,4
36220,1
41408,3
48256,4
38792,4
8256,1
21386,4
15425,3
23350,2
52270,1
58152,1
32571,3
296,4
47680,3
3770,4
30664,1
49143,0
8456,0
15191,1
14074,4
38908,0
24813,4
37889,2
20935,1
48931,2
49790,4
27144,3
14240,0
46043,4
37556,3
51842,1
42321,4
49057,3
50747,4
37910,3
31391,4
17159,4
42232,3
44030,4
8990,0
15255,0
237,3
25775,4
32147,0
6400,4
13503,1
36585,3
17825,3
1154,3
41126,1
12351,4
4866,4
6880,4
9499,4
14574,3
51567,3
56202,0
45786,3
9064,1
15047,4
29725,0
42900,0
38545,1
16148,2
33539,1
7658,3
2126,4
2,3
9304,1
3657,2
4231,4
37215,3
46788,1
6150,3
11258,4
39118,3
54087,4
10711,3
18174,3
23444,0
16329,3
7989,3
50864,3
12447,2
48730,1
32150,2
57775,0
13729,1
8744,3
14350,3
18858,4
9792,2
31948,4
17860,0
52010,3
31066,2
4124,0
56648,3
32111,3
34457,3
44117,3
39592,4
52860,0
24598,4
5664,4
34956,3
39574,4
25391,3
12526,0
10462,3
7296,1
33051,3
146,4
42851,3
21464,2
4553,1
53226,3
51327,1
11627,3
52026,3
36378,4
16879,3
12385,1
10376,3
45177,3
39169,1
7653,1
12738,3
50827,3
42130,0
53252,4
158,3
7157,3
3808,4
37033,1
24243,1
24968,4
36085,0
18901,0
16000,0
3956,0
36270,1
52185,1
49294,4
19595,2
26388,4
37777,4
26221,1
17287,4
42131,1
41649,0
7202,1
34530,0
20157,0
25654,2
21787,3
3277,3
24005,2
19100,1
10936,4
50992,1
44374,4
6109,3
38716,3
43029,3
54378,4
44911,2
9697,2
14728,0
38961,0
29132,3
40913,3
5071,1
33372,0
43944,2
57891,3
13161,4
19724,4
49897,2
27876,4
10664,4
315,3
7824,4
37488,2
29597,3
42552,1
143,3
36215,1
51030,1
732,3
8539,3
1181,3
28558,4
46507,3
33414,2
43060,0
8829,4
51573,2
2877,0
38388,3
44736,3
37694,1
36597,4
24833,3
18257,4
57685,3
28696,3
4986,4
49731,4
31403,2
40864,1
19003,3
13615,4
15498,3
44574,4
21891,0
29261,4
24869,2
29963,4
23619,2
28382,0
39249,0
19958,3
42460,1
13391,3
50133,2
15769,2
56118,0
13250,4
539,4
56747,4
45587,2
11366,3
15338,4
19564,3
363,3
43601,4
53366,4
4873,3
5626,1
25011,4
44094,1
45698,4
371,4
38636,4
21536,4
57279,0
3536,3
6959,1
7287,3
40209,3
31243,0
38878,1
18820,4
21430,0
16349,3
5210,3
13343,3
20533,1
41860,2
19140,1
17222,0
1073,0
54149,4
36357,4
17651,1
5655,3
50941,1
46985,0
36428,2
21214,1
27172,1
46231,3
22133,2
41688,0
19472,0
12569,3
19813,4
43471,3
5254,4
56555,4
3342,0
35038,2
44726,3
16216,1
58442,1
22167,4
33226,3
38512,2
45976,3
38759,0
4665,3
658,3
45320,3
54236,2
54594,4
31526,4
37242,0
1388,0
50359,3
20727,1
3212,0
36655,4
5922,2
2308,3
48431,1
19222,3
12437,3
9262,3
35641,2
11701,3
44457,4
53896,4
56951,4
18891,4
7958,3
57507,1
3156,3
27721,1
57965,3
34587,4
3337,0
29464,0
26163,3
34620,1
39752,3
272,1
38303,0
52776,4
17585,3
14861,2
42712,3
2791,3
41989,4
26306,3
51660,4
10964,1
45989,1
45747,3
26621,0
36257,0
12899,0
50998,0
4204,1
32578,3
9264,3
42524,1
38667,3
45132,0
31528,1
36066,1
495,3
53426,0
53523,3
41828,3
41960,2
55492,3
34138,3
10102,4
28949,4
53510,1
33332,3
3026,4
52737,3
41635,1
47997,1
46785,0
19945,4
25606,1
23931,0
1824,0
19850,3
53096,3
11824,3
17476,1
36897,4
23889,3
1375,2
33111,3
2920,0
48274,3
10648,4
28831,3
44414,4
39706,1
7417,4
29030,3
58516,0
53849,4
9708,3
26196,4
24379,4
4818,1
19248,3
46773,0
46193,4
20079,3
42127,4
14917,4
53701,3
3950,1
1944,0
51162,4
7580,3
8479,4
56967,4
9785,4
21527,1
21554,4
46488,4
2372,1
36442,2
57157,0
3574,0
39841,1
30015,1
16498,3
52917,3
23707,1
46265,3
19170,1
44473,0
48860,0
38781,3
43922,0
23972,3
54770,2
17071,4
24715,1
8667,0
5726,2
32888,3
30550,0
15394,0
34391,1
57007,4
26253,4
25614,4
23257,0
39265,4
12779,3
24543,1
47309,2
51105,2
13460,4
11058,0
25400,2
57234,1
56218,4
47620,4
28437,2
3806,3
32756,4
43695,3
58549,0
52957,2
54692,3
55396,4
28686,3
47180,3
8958,0
42958,0
35647,1
25671,0
48907,4
41123,4
29582,1
22340,2
11925,3
55594,3
55339,2
7757,3
49136,4
14115,4
10557,3
7447,0
23247,4
37581,4
36953,3
3988,0
50366,0
10560,1
19389,3
37602,0
54940,0
3488,3
23565,4
3683,0
32403,4
21228,4
1991,3
15226,0
10082,3
3523,4
43588,4
38822,0
28930,3
17327,3
41506,0
25583,0
55879,1
40470,2
38498,3
49566,4
7044,2
1450,4
53965,4
56680,3
32164,2
23811,0
11777,0
54152,4
37135,1
8551,0
39142,4
39724,2
12648,3
31141,1
24921,0
57341,0
40369,3
27448,3
17485,4
30597,4
33146,3
193,3
11570,0
55194,0
46743,1
2965,2
54945,1
31223,3
50565,0
51348,1
32183,2
9285,0
26384,3
34735,1
29324,3
46421,4
23529,0
56957,3
28774,1
32855,1
45367,0
16724,0
24590,4
16191,3
4196,3
15851,4
7367,0
26121,2
41487,4
56758,3
28496,4
4609,0
12084,4
56871,2
23998,0
31805,4
19333,3
56181,2
52633,0
114,3
37794,3
13583,1
51183,2
56828,4
21282,1
25760,0
25701,1
21905,4
37659,3
49224,3
56036,1
47165,3
42006,3
2051,3
34031,4
39875,4
9071,3
30265,3
44258,0
19691,3
10880,0
41461,3
6608,0
56846,0
51035,3
58299,1
20802,3
29585,1
7079,3
8737,0
39867,0
43883,4
33154,4
11286,3
49956,4
16820,3
57757,1
26077,3
56004,3
36911,0
19117,4
47618,3
4440,3
23034,0
57645,3
36314,3
12997,4
57561,4
29704,4
42987,3
28482,2
13185,3
52868,0
55033,1
18666,3
2471,0
38243,4
42209,3
49534,3
48718,4
7690,2
42937,3
10027,3
53477,3
18333,4
7956,2
50134,0
29313,1
39535,2
41377,1
37120,3
2973,3
38929,3
23526,4
48239,3
34564,4
9761,3
51657,0
46061,0
21129,3
47442,3
36189,3
46834,0
31741,4
3379,4
19892,0
58295,3
2784,3
35446,3
49513,0
7523,4
2577,0
26869,3
45671,1
30904,4
8071,0
26435,1
339,4
31975,4
1034,4
13130,4
7525,0
27561,0
21603,1
38675,4
9912,0
35754,4
56135,0
57769,4
27753,0
52513,3
35968,0
506,4
22938,4
35706,4
35973,3
2643,3
6181,4
21558,4
45746,1
4523,1
8660,3
42593,2
43514,2
31898,0
1086,0
3302,0
1140,3
50836,1
51518,2
9356,2
12135,3
53747,4
50507,4
2821,3
55439,4
34064,2
7901,1
13451,4
55632,3
40343,1
22601,3
42967,4
7744,0
53003,4
2778,1
36934,0
29801,1
525,2
29882,4
41508,3
44281,3
56070,4
43759,2
1545,2
27300,1
1564,1
58256,3
35914,4
7061,4
9823,4
5408,3
4968,1
22674,2
50468,3
28149,2
9185,4
31931,3
27031,2
8730,3
10446,1
20550,4
37102,4
12374,4
12684,1
27455,3
57467,4
50621,0
4913,2
14672,3
20554,4
56284,3
26429,4
18782,0
20442,3
15067,4
35723,3
10399,4
794,1
51012,3
32453,3
50857,4
5115,2
13351,1
53161,4
37092,4
52509,1
46376,3
41302,4
4927,4
30182,4
46928,3
18118,1
25798,4
42518,3
7150,4
4785,3
52232,2
50933,4
30048,0
57453,2
3621,1
33928,2
52473,3
55702,1
32461,0
28393,3
36038,3
44640,4
27045,0
14094,1
51457,4
36299,3
37944,3
4117,0
21276,1
30706,4
8792,0
48334,4
4441,2
38030,1
15277,0
54048,3
54466,0
28185,4
48243,3
4682,3
7739,0
48856,1
57107,1
21027,3
9445,2
10445,3
12327,4
16316,3
49608,0
11757,0
50572,1
12362,2
18643,0
39717,0
25427,4
907,3
45548,3
230,4
2156,4
40297,0
23284,4
9395,3
19554,3
56499,4
45580,4
52670,0
5825,3
23469,4
46106,4
2034,0
15735,2
36059,3
39059,3
21683,4
55907,3
37201,3
54952,2
54182,1
10142,4
21188,2
20484,3
41287,4
9080,2
18945,2
16893,4
52203,0
37347,4
44761,3
1195,1
10174,2
56355,3
21218,2
51488,3
2613,4
26352,3
53530,4
2670,3
46770,3
10893,0
15014,2
34703,4
27394,0
32304,3
55699,3
18198,1
33284,4
8452,3
6578,1
58603,0
18878,0
38435,4
54762,4
15346,4
16500,4
31961,1
57294,1
41623,4
51104,1
44080,1
26794,1
34326,3
15185,3
57146,3
25146,4
6783,4
54126,4
13028,1
15786,4
16025,1
31239,4
20966,3
13791,3
46085,4
56924,4
28108,0
41885,0
29177,4
15657,1
10294,3
5720,3
58253,3
45088,4
35055,2
57532,3
55202,4
22451,0
3804,4
19907,4
39955,1
51605,2
34764,4
27011,2
2775,3
45434,4
11241,2
44900,0
25684,0
19325,3
37812,0
55608,0
3297,2
19404,3
41257,3
46996,3
14391,3
12968,3
29613,4
54558,0
35685,4
10724,1
1676,3
25957,1
11602,4
21995,0
5309,2
55188,1
7668,0
46656,2
36794,3
5927,4
39951,2
53514,4
13727,1
32230,4
10597,2
55611,0
24385,4
48915,3
14999,4
46137,0
52452,0
45006,0
9830,3
24532,4
22958,3
18552,4
39610,4
5462,0
47014,3
13745,4
37167,3
28671,1
45098,1
4341,3
2027,0
3059,1
51792,1
56083,2
38886,4
56858,1
28144,3
4214,4
39322,4
25414,4
32844,4
5343,4
43533,4
54935,2
29513,1
12981,3
54986,3
52129,3
20137,1
12562,3
44623,3
29692,3
58482,4
23430,2
27581,4
33220,0
24654,1
45083,3
20406,4
26503,0
32176,2
7463,2
20794,4
26834,1
23639,4
5988,3
1941,1
31633,4
44847,0
37751,0
29384,1
40890,2
40608,2
12392,1
54444,3
27023,0
16667,4
3823,3
39452,0
55089,3
8245,0
16812,3
22729,3
8572,3
7955,4
20435,0
24582,3
17364,4
31642,4
403,2
9460,3
54525,3
55285,1
29053,3
31504,3
18857,1
3306,3
29471,4
56200,2
31061,4
