Timezone,properties,num_properties
10,XEOSZ CSADE IEYFK DVZMR ZLNJA QEIEC RNRLG MQFMK SGAMR FHMLV WMCIY NOEFO AZTKH LITMA AJHGI SYYLF CLMVG AIWGQ LMMTO GTIUR ULFMF RISRW RBOQE LGGTI YQHPN DZOND LYIMU DZIQH WNAUP FACCX IORDY WVYOS FRFRI JOESE ZTPAJ KOXJA OLZHV PKDBF IBYIS KLLVQ APPEN WMEVF AODIT WTVXY BUOKK OXLFV TRWYE TAXKB MIBNR GUBUI VBXGV KGJJP BIMIB LQBZE JMKOZ OFWWC QLAWG IDEFV QMZRH MBXNW IJXXU BQLGW ZHUGK FATKL FJPCM ERGKY SKMGH JOYGG CNDXS BMTUV AWDFO XEFRW KGNHO YOCJB VPLVW ZZSRD NUNRQ GULHT EUOZR MCNQO CHEVN CDPZN AKUMF EXTMC SDAWH NFKUH XRAEZ JBOHS XPTEF UVJDG TJCCZ EIGBS UACKP GUANZ QKNPB QXAPO ZOZQH OGVUV GQLZX SXJPF CRQRL SZDNY BYMUB VHJAQ MWMFT QELRR LPLBI RDFFV BJMLL UDIWD LSREK BUFYH ZBYUH MWXZH EWMLL RRHMI QHBDW HSAPP PDTXU JRWYI TKLMH BZBYN RNYOC MBTQZ IJCDP HTTAX LNZYV KQKSK EPIMT KHJDM NHGES CZCDM KMOWK ZQSNJ IRHQI NRAVL TGPLU OPWJP NLPDV EEBKA HFBEG QYEYY HBKDR LKXYK ZVKWG PQTWS UUFRZ AXIFG YKLSN ZXGTV MZEEC IQHFX VUXJA SQLHE MOIZB LRHXJ RAXNF WTIUQ YAKQJ NLBLB SLQTG SPIRC HWYOL FLGAQ YRJEA YNSMO UPNEM HWWRB EQKTZ WZPQY ZGALG YQXLZ FXNFS VDGUA CDDOS FHMBU GIKXR EMLSA UEJJN ZPQHZ IGYAO BHHGK EMCPR RWFYG XZPDX MAWOY RMKKP JGKFJ LEHOG CJENY GWEZF QILYV QKGFW NXFRN EWWNG GKGWX ZGEWB BKMCV PTQSV MFXBL IMIEV FSWIT SAHVF ZPZJI SFNRQ ZRSDV RCWCU WCDYS SZFFY BGZRQ OWFKB BRXUD KQTVD EGBPX WEAJU XVWHG QAXCV QLCRR XVIEI ZUBTG MGJEY OYIFF SOKVD ICQKW YIHBL DHXEJ SPPSJ WAQHI NPDQG YNEJX MPPQA BSCLW FQJEC ,233
11,QXLVC TASYO SGNNL ENWUD EYDTY NEACF CVOAI GFHME BQIVP XQDPL OVQWD JCXTM WZGUA CECZO GZLWH CBLLJ JFLDU NTZXJ NSIUI HMVZM DOWCR DLABV WACQX INSTI VJVGU ZLKDY WBTAZ PRKEZ BISQM CEDVD NQUZY WMPKT URTLT WNPOL CRXHO YRLLE LHOVK AGWQZ BOKTL UJZGP INHOS YNGKE DWCOT DOIPM BJDZW WGEOI RMBFO VIRRC OBYUE RLSXW NOUVQ YVBXF PPDQX DBJIF DBLBX NKIFW LOQLJ UJTEZ GMGMA NUACL QTRIR CVYFQ BKCNR XBOWJ VBPLE FUCGW NVHXW ADCTR LAUYZ SAXVE VBLPS JOKPS BELRB GETOQ IHDAA OLGHI TNCFA XJWGR YIZOD OVPBE JNKHM PCVRD CDZCK LHVZS NGBKS RCBQG OSLOU LZZDR TIYTV FXLCM KVYOU QMYIV QFROG YCEDW QGORA FCDIF XNCKR ONOIH HVGIT OXCCN PAAUH DGQQF WYANX SXGNO UIDIQ LHDIO FYZHM POTDS PPIVM FMQJS NERNB AZWYT WTIUC ODFUR SIYOZ EBHFJ KTIYA GYKNH SZTVV CADGN RCKYE TQZQB CCBBA DRGWM HLNYD YXUFP OAHAU XODVB MOEHQ TTABX MCHKD RJRRR MPISV KPKWJ HJWUC BPSAB EDRSJ IHJBE NLPRN WPXNU CTCXX PSJIW QXSXJ ECEHA CGJNN ZOJYC ECKCF ZVIXF VIZZN UCJGH PNEXS YSJOM RLKAW CPODJ LYGKP ZRHKJ JIHFM YTGOQ HEQQB KPYDP EWEGR HQTJR FVIJD WTGLM QYOWA IVHBV FQDLU KGSYU FPKFE WZKOP VBLJT FFQOV ZTJOY AAWMK QIOGY SLHIJ YBAVI ICMNE HTJDZ FDTDP CGNYE NMSIV KAWAA YPLKD TVGXV TGWOB FWESX BIGPP RSCHL JSWCZ MCEFB JLBQM GYXQB HFFOG QNNAY MQMYR KNDDU HDVOA UFDLS AGUCE XUUIG LHBJD DXOLR VDENB MNTRL KWHCM VMNBP UXTFA NLZFF FQJKB YOJIV XPJBX FKSGW WTCRS FVTGZ STWDZ ,216
12,JJBCY XXXTO CIJYR QHFUO LDFSG QHNHY MQWAF NICMX FHEAR ZKRNY QPPTK LAGMY QDUXT BUGKU EGMRK GOADT YTILY NEKMH NOFLT NSSTH MBXWH VXYCY VLVSF FFHMA VHRBH AQRZG MXYMM BUSEE UJDBO LZYQN IHRDI PBMCE NSVXL LBSOT SOLMT HXNDA WQZXI QXCSH OFYCH EXWXZ LXZUJ IAPUM POJDD VBAMQ ADYVP OWELQ UOQBE LFMUC FBMOK OGBLM MKDZL TJCVL RHCHB JUNQD UDUWB WBPJC LWFGI YEFOA VGXCF OHMOT JFBCI GGTLT CHOYW XCJNK EPUQW CDNHM WIBHJ YYBQG XIRYB ZHHPS GNSYI AUHSD OVRFW COLCB VADUF GCMYC TRQLZ ALNEK TYVLD JPGSN RSYIJ PKKQV IEUVT KUGLR DUQOX YMAYD EMYWG XMUFT HVBCS HJTIY ATNQH ABDXH OBNJW NDHPA QZCEQ IAEUH JSKUB UDCFJ ISWRU DTSXT QRVDZ FXHAN KDANZ DBGGC GIAOT DSLWE IQAHS TMMOB AUIZS QBDLA JNQLF GNYCZ RAFRE UJTVT BKBBL JAVOR GEHCL CANBT FWRCK KUONJ HLYRC ZEISB LZJCQ SHGCC UGOIV WQJTF DNZYD MHKOS OXLCN WWFUY THHPV EKZJE ZIWCF ZFPXM QKWLG OQDMU PHOGG DOVEL DTTNL EWJEW UDDUY VLCIT ZLXVZ FWBMK GCRYL UGWRL DYOWM ODIGE JKYRZ MPDNG DYWYY UURRB ZYSHB SBVHU IUKRC AAWQT AACNN NYKCH FGMND NKRLN REYRI QGLKN SBWFX EDNTN FDGHP NUSNW UUVQN SHTNP QGWAE XHDDH KKVPC TQION IJTNQ XTJAB VRDGB OZJZG WOWEC IWMMS SFAFA JWOFC YHLWT HVPGG YRHYO HHZXM TVRNE QDETQ DTFZQ HWGGS HEUTU LQHVT RVRKJ QSGET RIBXB NBGFS DSAZM UXULL WHQQP AQRMJ SHRTQ FCGJJ KUUJL ONUIB EUIHD TITJK ZOZJQ ,205
13,ERZRQ XOVCY HSXNZ PBOGE WZPQQ JSDMU MNPVE VTAUG QTWBP YOZGJ ENLCH SHQCZ PJIUR VEDTX ZWCTG SQPCL DVIMM HIKIC MQVRI GKBOI HIJUA IQAWX UXFYR TCIZK GICKF PCATZ LXEUN KUPZJ BZQEI ZZOFQ GOQZI DVUIG LKRWY GNXUU SQVMB CYMGL PBPNO RJUCH IFEYM BRRMH OGOOW ZKECF VBIWA ZLESS LNVKS IEBIR ZPGZA REQRM ECFEL IPEGA DZYVP EHDWQ EQEIW XWHKP LNOAX JTGEH AGMRC SZHCG IWCOU QHBVI MRNOK XMUFV PPHOS KMMWI MLLHX TNDQV UGZED QDEKX IVFIU BOVLA QDZGW KVTMP RVYAS NSPUA SSLRM FHKCA AETDZ OASMT BZTCN RBDYG SPSVJ QAEAN TXLPK QFQSZ OTWXS AAKFT ORGMA CUWGP UMBNP INHTW OKHHO NLHMV BZVAO YLILO DIWOW PVUNW AHCTU BSJMP DIQBE LPZOZ SYKQY BHYDM FWLHI CBHCM SJTKL VCYBJ ACNXA RNLGA LZLHI KQWAK NYEXD BWTGI JSRFB MESUI HBDBO PFZQL IRJXB GOCIE XWBAC EHOCV OIRZV NHKRA AIMMI PTQWJ CAVLD QCZWU KRBHG SKIPG QNXDI SJDDS EUUJJ BSPAI IKYSY NGUFW SEYCV ZGQEY CPMGL WYVIG NTXRQ NXOVM QXXSC IDGBO WVRYD ASKDM FBBPW BCPIJ TBPKT GAARE EEQTH WWERZ FQKCQ FCENN THVBP FWJZE KFJYS OQOTK XQYSK BLCTW FJTYV CLDVY HNMEP XHHNH BFRFF RROWI GDYGW CUOXQ DAYOZ QQIUI CRTHV IUPWB JTVPN AKASR HEKPZ RQLTR FLIJX TISKI PCIAS NUJJD RAUTY AIMYB ,180
14,IJJWF HMFFI UHFAG PRUZC KYMDP ERIQA SUIMP NTSFN TKRNS LYNPU RFOAI OJYWU IAKWF SKFJL PVQNK OCXRZ ETWAW OARWS YRIUS CTPCG WREFD HZNUX AVLZD DSKOA ILTTN BMWEJ ILDUI WVRDJ TNYWS YPOUV PHOQS YAWIU OEUEI QJEAX QDCBP PFWFO TMJMU SEZCN EZNQC JIVLI QRHYE BOAKD OEQQP NPZVP CJZRG MTJLZ QQICP JIMMA SQHVG SAECW AJPQS LFPDJ TZGMV QRMEH NVUFJ SLJNF IVPBF ORVPO WTGAQ EQNSM BXANX VSNPG JZHHI PIGYR ZYEZL GAAYY QQWZW IBXXD DYWHN BWUBP UIFWS ZEXRG WRDPC KAMCB NMWZT OJPXN NSBFG CHQCH VUNOL PGQBY RPDDM JSJJT SFCND OGZQX CIXIC XUKWP YYJSN KKMPV IHVKL NUAQF CFNXD XBFBA WPTRX GQNCD HVEXZ WQFZX IGEFA IPJYQ MAFEJ YSMWU EUFOR NONLB IIGHX EYBEJ FKVLV PNJSP IQRSO GAXUZ DKORJ UDHJY IOFDZ DYEGB KPLKW FAPVU PYDNZ XKRSI QANIX HGGID KRMAP ZQZJE YUZEC GDION FSVFE SXCXY NACWG JMWLJ CBVXF VYTGX RXPZB TBVQE SRZDE SVKEH XKOEM YPGRI DYHDB OATPW JWXMR PYGHM BXLKY LXKUM YKRDC HUJXZ LVSEA ZNZSU EOLFE ZLUHT HDWCM TIOSL JDHWQ FGUSJ VAKBY MIROI KFHOG TRJTF OIMLJ MGEUW LYSBE AACHX OVYKL JTCXC UCPWY GRXRE NHLBY PGUPR CFBNU KIDDO IKUBD DBJKK PMMCO BDSLB NDBIF PUXJP WGEHT BHKOW SKAJQ APQGJ OBCEG PNQTO XHRLB AILIK LXDHM TEBYX TJNLT RESKC QJXJH XKRGY JDJPK OBAEU KNAXM IRDWS NJQIQ UEKZR UJTIN RXWPF RBHDK OFCWN MTPRG UONVA JZGBG AHBUK VWHGZ OHLGW VHIWE MAXFR PDDBF TGLCA ABRQG JTWTF HIHBW SGXCA DFARY OCOSY KECBD JQFNH LFTKP BDIHC SABHJ BIVGE OHRES ,219
15,AAATJ RFYGF DAGOO VLVVN YUFXZ NKYSY VPAFY FIGTJ CKYUC ZLEFO DTEIZ JEYUG IZDEF NSZBW YPAEW MFZUJ MNYJW UIMOJ DMROV QWQCN RNXVA IFIEI RCZAK EDUGA XLNMB EABAP KCDCQ JZXEH WFQNT HZZYR RFIAK DVMHC MGOHI XAHRP HTVCY QXPSN MHCJT PMBVK QUOEI DVDGJ BFFBE MIYYO YCGMQ DVITV QPVNH GMOWG TXAWP POXHI OCCKK GDEDL XHJLS KMHDF TUKIC AUNJW RXTQR YHDPS KZCPI YCZEC YYFSS VJAAT BSLKC OVOIY YICXX VUGQC JFOCQ XJEOM IMONA HEBAO PLCEL OKGDU ZDJRH LLGSB YPEUY KZXIE RHKJZ YWZUI DKKEI IDOEL XCGLP FULWC AGALY BWREB NQBOK DFUMS IIHDW GAGBX TPJAA IWARL NDEPW MSANU RFAFG UARSV LBOZQ TBSHD YXEMZ VKXYS YXADK IBEKR MXQQI VKFED GPVTJ UVOKG DONTB KQFCC TFDUU QBPIL FVWIY UNVRC FTZCB WJNJZ IUSLK TGSOO IYLXV WIAMV WFFPV PEUEJ ILLPB AHHDY OUYBE JAZZQ KEXHN CRUQO RCDZL XFNUZ AKOST JOLHK IJLEG ETWRC RVGLR JVCAX ZNJNG BEYGU CMYRL KYYWK WGWBV PVLDH XPYMC QNCYO UWBTT XZPLI XFGQD GEAGG REDEV OAKMZ CAJYT AWOFK EKLVK MDVFN FIPZH WDFII INLXP RNFGD TCQWO EZASZ LZTRL IOKKA JGMUS XKHZM GJOKG OMZZM FOLNK XXAHK VBTCD AJKTG KCHZX QFWWC IYXVL KCXKF EKENK PUUFS RCLOD VVKXA XCQJX HICSW DNNZZ EYZLW KYYYT DJYII RRDVD TZTKE DHTHZ QBKUF LLCSR VBCIS EOTDC XMVHI NLEFJ CLGFP SKEYI SLOTM MYMDB HTCHE ULSNI OEAOK AJYUV NSWVG QMCKS AAMRN TSWGR KLVXV XMILD ,201
16,VIMXP NIWBQ IIRXP WSCKD NFBVJ LZJJI CRMKH GNNYY EBCCJ DDBMJ ECTWE XHDOH TMCJY RARRS TKNFG ZVUYR LANJQ XZEAI USQTG NKBMU OEJOB EYKVC IBQIY IJZDP QSXSL UNHHM NLQRQ RINEH BYXWV KADKV XLXJP LUWOB JDDMO YCXPI KOKNS FAACU AHVLA VGVGT LPXZD QATTR UJHUV LTSFH FXJNN NHMCJ XKJKQ TLFNA KMXXM WWGOE ZFACH VPYJS NDMGI PQZJH JRDEO HSVSA XSQEE QEJDP WWKVT URGDF IOFVE EEMTZ GIHCG XLLGY UTZWT VNBBG WJCFH DRFKN OVSIP NEUWN WUFIP UAFSV ZAYFG QTXOB XPDTW SFRCM WFJHU UOKKN EDKLO MICSB OIYNO PBPKW CSLFA ARYGZ KFFCB CKVNI HDSQT EPYAD VTNRD SPSLJ HTLHQ XHPQT CAOKE YUXSZ CENIQ FEVIP UTSIY PEKHP MTYFT PPSTC VFZEJ CHWEH NVSIV PTUPW EZUOB JIRUT HSMVY MLARX UTCNI STCQW YRQTX HZLUP SYSDC HNPFG CTZOJ MEVGD AELSI GDPVR DVXFJ MBDIX IXSZA PWXXP BGXYG DODNW DHTMX BDRQS YJHSR KXYWN EXFET GLVVY DFHLE KGWZS DVNTX TXSWP ISFKU KONBV OJBQI MFXZV MAPHL GUDRG RWVVG XJLXP NSYSS ALTYM WAZME UATJP HGVSD FGDYM SKHAU YWSII FKVZG YVGDD IGUHC UQTLA QQIKQ SDLYM EQGPP UCMPM DXXFB OLLVS RLGCE VMQIO CNEQG OMBRC SEIPJ NYBYR WPIVE YQXDF NSZHR PXPDG ALKKU GUUCO QQUGR CEZHB GFSTJ RHCIP MGLMM PVMKB IJCVZ CZSIO WGCTC SGDID EYBSC INNBN CSLYG BTKLX MJJDW MUGMO NAKRV RGQDL CVNHR JCLSJ CFADK FFABM ULMDV HPTBC VTMCK DPYOP MLXRB HOTTU DCMNZ HLPUP BLVCH GEREC CZURB QQKGN QIMQO KXOLC FMFUT XORDO ESHAQ ,209
17,IBTFX KCMXL KGACX YVKUD AYPMK WZSKV XNBIA RCBHP XOPPY PIXEC WEZZT QGBDQ EFMOH GCSHJ AMZGE CWPEA FPKLE YTEAB KIZDH FDFVY XSCGJ RNZZB RVQKD TRVTM OEPRG DDEAW OXXGW KEGFJ DILNO PXEAD TMCSQ FRAQD SBJMQ VZDUV SDHQH NNQVK XORTY KINAK YPSJF HLDCC QSYVK ZMNBB QYOQD YUMLI WFAIA AAOTP OBBDE LJUPL IJCGN SJMEU YRMUU BWUXN FXYEB MCPVL GWTXC VCAWP UJOFX NUDEU KIVLJ WAQAI LPCMU JXEPQ QJNOB HOAEK PTKOO UHEJV CQBAZ CUKPF BZJUO GGLPC HSOJR CHBDC JOQID NVMRT NOGXF TTVRM FQHFC KLCUQ UTFGW ZRTXN ULJBO NUDGO GNOCD LCRCG VZEDO GWWDG KFJMY PJCJU MDNTW WESHE WZXFP YMSEQ SGZTI SZTRB UWNGD WXJOT BERRW GCSGE EXXST FIZPX TCBLE LUJGR DQRTZ TFNHJ LKVTM ZYYTW ZUQKX SLZLU ZAXIU ZHFVF IUZEL NBZED HXCEQ YLHDR NCGGP TSBHY FITOM AJXVB JRCPQ PARDE XHXOG JVYMG VZRUE ULDSB RFIAJ PAAWP RBMLD BVXTL STVYG GWPZI BCLDP LNEYE AJYHR TZGYP HNTTV LPRQQ GNVBY BIZOR OSMLE OPBMQ YCHMC HPAWE UKNDY DHGMA KVUYD DFRZE NLWUO YDRNX ZKHHQ GBPFK ZMKDR XLUZH MQSBY WAVSO ZNHCF TCDZE YWGIH EDWPH YHSMA ZYBAD PGNCY GZMTA YVCZZ GDZZQ UTCWQ IBWZN JDOQG ZPKZD IZTCV NEMMY EHQBG FZUOS JXRTD WLYQU XKZJG LLUHE IRDSG DKWJY YTTAX VOQTG DOMQW NJIMA JFYEP PRHWA DCSJB MEVCS ODRAW FUQUC TRKOJ VZQQR EFFHA PFQFH LOQIZ ,193
18,MYOLD GJGKF MZHAC CITTB INNHP OEYVO DBFMY NEWWX OXIME BZNVG KUWCJ KDYWK WXMZI RGKKG RRVWJ SKKFG USYKJ LBKTD PEKWF AVRFA ODHWD NNQTL OSHVD UVKQX ANBVL OJPEJ KIYMJ KJEOV SWFWN CUUWI ACMIE PTZVO ORDZA RNHMA WLDEN EQRBB LVMHL GULKA PUHLF VTEAB AXWMG RAUFU TOFHW DGSXZ AACYV RGNCR EBZTT XFIQB PPWRI UOTKC MUSDC VYREE TUWGG GVEXV NSKHP NCXJW GZTOQ VPVNT TCSSI ILABN RYSAY VNMED TBGJA CLHFB FMDNQ WCRBN TQCFH JQYLB ANTGM HLGMZ OOAJC NGUIA YGJCF VFXQC YIDFU WPUKN ZCREV VKRZW EUXBI MYKEB IFJDW JDNXZ QCZOY VLXTG LRWZQ YVIKB USUXJ OBNYP GUCGM SYKBB WCTGJ WPIUD TBUZI NHSXI RNSNM LVUIM EWWTC YWBWL LTLAG AFOVF SJHXM PKTXI EIZJT FWATO BHBUP RVSIR OSEXY ZJUPT NZAFZ YOLHF MMEGD IRCUI WQUBS MPFLI GNPUN SUAUG CZZLT JCBRS SFOVN DLQSC QNQUM INJOA ZIWRE CJPPB EQEAK CHZXD VXPEO CHEGX SVDKK WBSQY GGONG XRNWO GQRBQ KRYYL ZKZRM ZQPVU RIEAV FYFDO BWDZW KEKWD OSXMH ICLRX OPXLL UMSJD PNWZA NTACB PSYQC OQMKI BUMMF VVXJX KMSPQ GBTZD GWKSE GBJOP KUPBN ADOOY EAMFJ MYVPQ JXURS AAMHZ UQIQA RHPLL TNZHP OFGCJ KXTBT WAXXK NVTCE TYUAW UVEGW IHKIL TWBXW ULTTW KMGUR XWDYR AFVRA AYPWF UWNWN MXNYF DMZFA OVXLJ PDHXV IQPPI MVXCP AMAKQ AKQKZ IJHOP RZVZG YESWK XXZHX WUIWW SFMCN ZVQPI QSXZR ,193
19,LAKKI EYAMZ LPJFO SFEFT YMDJT EQYQF TRIPM IVLBJ XSNJT YLTDG CVSZW PASPW JSZOL FMOCU GPZBD SISMA GIRTS IAPUT BGHMT SLLPD SSSBS TMKLC CGNGG YYOOE GEJQM THVMG IMNJH ZKEIM LHFZD EKJTU PCAFC HYXUV TPHFU SIHZZ EFVTE FBSAL OPKON ALWUK CJZSE FLRGP TRZQG ESDQK RLKWY IDINY OIJEO RMOJR EKFGN KXVYV CYOVR TRIJP AXMII TGYNQ RCKMH RPHEI ZYYIS AOCBN TRMUE DGJVP WQQRO EHUVZ GPCBM VMMXG PVMPD UUQAK IVNNP RBKAN HZDFN FBLJS UQAJZ SAGNB IXSAN JSZNB JYJKB LNDKP JJZEK RYUCM AOFTY NEHPI OIOVW HSQVM XVMKH JPTBC VUBFI XHTWS BDNUD IUEXK LLUCC SLLJA BSGNC EAZWP ZCJOF HUUAP PMFQW UQCJI HKHFG TOJIS DFZUQ AGVMW XDSND ESYZK PKNUH KQETP NAUKH ELGFF WGDTP CPQRG ZVKST WWHVC EKEWC KGAPM HQDIZ MHQEP CYRAP YHIQY KLIXZ PAXOS KISOB GTBPT GFEEI IDBGJ HLCGG XHSRC FJHVG TKKCV MRZDG YMUNE HGQKK WQMGG QDQLJ NADVH QMXVA URESV VFFBU HZEUJ DEWMA PDJQM HOILR DIKGB GEIET MPEHD USVDF JKHAX NBXYX GSKVI ZJNDX RBSVR MDMIY IZQAN WNQUY KYSWO NLEZE WWWGL SOUBA XDACH FIUKL LHSXJ BQXYQ HNNQM FNZOV FWBNH WKCGN KPOND UPOFV FTRQT SDMVM EWNAN FLHTF YLDLT RALHN QJLYL RBGYC LXWCG MHWSA RTBYN KBHVR LPIQF SCEQD NMEOD HJVLN QIUUY YBAIT AXATN MXEXL IXVHS BYVZM INDXG QQAXQ MDQVK IPGQM PYWRV VIYCC WMCOS PKPKD CIVWB JSWFW IILVE IYDFK YEDGY UBPXU UCNYQ RWAWB VAVIT LTQYK ,203
20,OCEEG PTHDC MBMNM BHMGF STDMQ NITMH ZFOXX IGGMB YBYLG OLTAF ZTLFR OCOTL TUMHN CGEKM SOGRK VXUVM AXIQU BEXHE GSRNC GNIBC USEYP KFOVC MHJFG QVIFC DEOLX JGEBQ VUJZV OYBLD HOTXM CIUQY DRCMW QQCQG OFDNF YOCXA MFYPI OMTNB IKOKM UKANC LETPZ MBWDC OUSKA LJCLC DKYWW MORPF RETPU YBIHG CKZKK CESEK SJEAM TFYTO NEBCG NLBSK LRSVO PPXRA UEWNR PUUXI DKVWP AEBXL MHEFO FHSCC LHXJN FNZQA TLUZY LTEIG MNVCQ KKRDZ LWYOE HSOHE JLTAQ IJVST GHPYW GHNCA IBZDN DICPQ ZJJDF KLQNB DHVXR YXYIB JKSQX FKCIW HGOAR KSMER KNBPO CEUAV ZTUGS HTAPS CLTMS QBNSE QKATZ RYISS LRUMC NEULJ SNUPO VWMIS TNWFZ FOWOP BOMLI ZXXUM UVSGE LLKJR JBVQC MEWGM WCVYH PBGFI YKZRO MEJZK WKQOF XKKOJ MPCEF RAFGO KRTDX JIFBK GPNNP MGOOS QNOZT UFWIP MQONU FNJZK QZUXO PGYSB NHLSS LQYIF TCINC NFYNO IIPAC HDIUF TZYGZ QDSWY VATSF GQHAO UHCHX YGMQT YGAZM SJHXD HDEPR DEJIV QARZF RCVAZ KVPQR MTUSV QUCOI MVDTI AARPV LWTQJ HBORE PZSWJ QSOIP UVTKO TJVZT ZNBAL AXKYL GKVDB POYWV YEAVO DZUVS ZRYWS LYZPC VKEZC DOIPG HUUJA GMHMX HDCNM ZJUSH YEVTL UBPSA RZESW UZUXP PPFVB NGEQB MLBHR LJHVY LXNDT ESVXX ZNUOO WQWNU FXZUB FOKKW INTRP LFBDT JZHCJ AHGWU LTFRU VMUNC WFGQK GXSFE BHDUV URMXY YINZC XAHTW JDFRJ GNLOT LPNAG DOZON SBZFE LNLUS VWEWL TWZHN DZRDW VEYSG IOPBM ZSJJF TCGCP RWACA BFQXD JMVHD OXTDN MWMQZ JPYLR NHFBS JRIAU QMSBF WXXAK DWTZP UXKZN EBQBG HZNCX GFHSQ UCMSH PINDC FSVAS GUWTZ KTROO JJBGS YXBSQ ODEUZ GWNOU ORIUX ,227
21,MBNCL IARHW QDQRX GPVHQ QEGUP WDUDS FZKLH RGNEF AJSON GLRYV NNIMU ENNEH EZLBG AZFVM MCDKI UBQQZ QSIBF XFXOD LVEJQ FZTHI XCDPY NDLNL ISNOE NFEHZ PZJTZ GLUHL OERFP IGREQ YUXZU RTFYX EDISQ QHBSF QVBWA MAFPZ BIEDJ LSCMG FPLNU DAXBO WNWIG VJNQQ LKRRL XPUMX ANESB YELZC MLLJM HSRYG JASNQ FMTJI GSPZM ENDVW IDABB ISPJX XBVDU JIWFJ KHNHP OHXHS PHRUA OLAOM ISNXR KVSJV CQIKS ZAJSA VKQXU SQWIM ZYEFJ KOGWL VDQOL CVRFH MMOFA DPUWE UNKBS ENOWH EUVUT WORHN GUMZS IZTRB NAUVJ SXTTE UQCTA UDHGF BEZCH QEFWJ IREAT LMNWA SESXN JBGZV WIGKQ KIIRT JFTVA YEHAM IQEYQ NCPBZ BYJOB DRVTF PEMNJ UPNQT FILDT WNXGL TWWFS BEKRP TRNID XLZVJ JQPRP VNXOF GUCOI IBCQU MDXKJ UVJXC UZRFA OEBBU STPRW KGDGL KPIHZ QVQJO RCGHV OTSCI GSTBV SXTRC AUELJ GSUZK EZJRS AIRLJ DZKMR UCSML XPQWX XRIGC HBLRP QMQHS IUZZQ EPVVT EUYEE RUHBB JEOPF FUEQX LOTBY VQHJW ZSVAP CATGF BQKXP AHBZJ VIIVQ MLCOX HWLUB QDRUU IOVUF MSYIH YLWZD CPOJM UOHUN ZDFVU QRMHA PKACM MDZJL ECBDM LEARD TBROB QCSZU OWSXO HMTCA GAOVX HDGEA PNAZK HBQGI YBWYQ QRJRF BFMEJ VISJR SBBLM ONJTM SVDEG XLHUT QBZQS SGLAP HTEKR NVGLA IYOLK GNRSH APHTK YTDCZ NPMNI EHEGQ MXGSZ MAGJK RDIUG SANKP XVOJF HQOSY FXHGX KXWZO OVXWM MGKCB SYWMY MNNPI VDWWF RZDAG ULTUX JSLRM BIEXE NWLHT UABYG QPPLK TKZXY WSTWC NICBJ YIMCQ TQUPO XSFNV CEUWT VYLTW OPDYR ORBDA HEOYN LXFOA DMERT KCQLW RKCLS NNJZN GVZTW AEJBP ,219
22,JHFNT YHLZW DSKJQ YINBC HQCEQ MZNNG UTLMI WOYKK DBPGU GIUXH RJGRY UTDWV YKGIJ ASXNO IMWZJ QPUZI TECIG COQDH IECAN MTSUV WXTUT JDXOM QUCJM GRJHX HZQGU YOFTM NSSIQ TPGJJ GIVYK PJBCL AOVNH YYSTK IDIJR IFKAZ NDGFZ WQUDD BSUGW BYQMQ CQWEE OOYQR LLDET CVVCB BNBQE CVZRZ CXDEM LSJOI CNSNL QHBHP AUCDU MTMTL BBYNM OCRZQ SUXHF JOPVB FMUKO IWJJG PLVPZ UAFMN OIJGZ JUSYL OBWJV NJQFG BUJCY IRLBR NMXJG UZAKP UVTHB FSUGR CNBBR RLFSU YWQEN DANAY UDIHE AWASY SAOGB ODUNT EYBKC TTAII ZEJNK XZGMC KERYC SYYLL NGSQI IMFDS WLQSO DGIKF VPWEX YMVKV IHUFP NSDYH OZXUT VMFSZ ISYRN NGYNZ NLHNL NGZMU YUSGX CYAIU SIJAC DHDRB FOEXI HEYEE YZWOK JHNRK XTWNQ CPWOT JRQCX JRPML IHQXJ EYLLN SOCIJ HTCGZ JPJFW OLQMO ABDPK YRYFU LYRZJ NXTFI YNGDS FPVIV KMHWT MQNOD SRUSN GPFOB FAGBI MNDRA NGWFC YINNS HLZLM KEZBV UNLYJ CNMXJ NAXIL RZMQP DXQQA AAALJ CZWPU EEBZE BCTFZ FODKP AYMXL BXRTN GWXYA WFJKJ VSBFL AAPDX CMKKV JQLKG UGNNJ ACXCS NRPHS VJUXL YAVOI CRGZU NOLPK QHSLT EBYRB OBZTM IJJCN WIOPH XICWV LIQCT DZASN OJPNS RFKTH KBMNN SFOXZ ALAYJ ATCYY ERCTP MLISF JOGMQ CXNIL NUVTR SNZYD KMKIK BEOWD WBYCG VDBAC RVAWS MRXTB IHZPA BFFEP NBPWW JRPPW YAZDP VEPGV FSUES FYXWF PRBRL PUGSU WOTRJ ZFFWY DGMTT VJCIP APNXU DDMGB PVCSY JYLJC YOUBJ RQJQJ XTRED ,202
