,person_age,person_income,person_emp_length,loan_intent,loan_amnt,loan_int_rate,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,home_own,home_mortgage
17151,27,44004,7.0,-0.34124694318944354,11000,13.79,0.25,0,7,0,0
46314,22,50000,6.0,-0.26697081618436225,5000,8.9,0.1,0,3,1,0
51073,27,100000,5.0,0.4841067276764486,12000,7.51,0.12,0,8,0,0
41351,24,59000,1.0,0.08069432625986454,15000,13.87,0.25,1,3,0,0
44896,23,50000,1.0,-0.34124694318944354,4000,14.26,0.08,0,2,0,0
8970,26,25000,5.0,-0.26697081618436225,7000,7.88,0.28,0,2,0,0
17622,31,90000,6.0,-0.26697081618436225,1500,10.25,0.02,0,8,0,0
3940,29,36000,7.0,-0.26697081618436225,7000,7.14,0.19,0,5,0,0
10302,24,54996,0.0,-0.34124694318944354,8700,15.99,0.16,0,2,0,0
153,47,52000,11.0,-0.2362778376648724,7800,9.07,0.15,0,14,0,1
50641,23,60000,7.0,0.31837825526225194,3600,7.29,0.06,0,2,0,1
49577,24,80000,8.0,-0.26697081618436225,10000,7.74,0.13,0,2,0,1
45329,22,64000,0.0,0.31837825526225194,7500,11.03,0.11,0,4,0,0
36725,36,31416,0.0,0.31837825526225194,8000,7.49,0.25,0,16,0,0
46032,25,45000,1.0,-0.26697081618436225,12000,13.49,0.27,1,2,0,0
42240,27,50000,4.0,-0.34124694318944354,5500,9.91,0.11,0,6,0,0
40640,27,138000,4.0,-0.34124694318944354,5000,16.35,0.04,0,10,0,0
5578,37,36000,21.0,-0.2362778376648724,8000,13.06,0.22,0,13,0,0
42458,23,36000,4.0,-0.26697081618436225,13000,13.99,0.37,1,2,1,0
2680,27,175000,1.0,0.4841067276764486,15000,12.69,0.09,0,5,0,0
25638,23,75000,3.0,0.4841067276764486,16000,11.49,0.21,0,3,0,0
18178,36,33996,0.0,0.4841067276764486,8000,11.83,0.24,0,12,0,0
2024,23,55000,5.0,0.31837825526225194,8000,13.49,0.15,0,4,0,0
34662,33,80000,17.0,-0.2362778376648724,6000,5.79,0.07,0,10,0,1
53220,29,30000,3.0,-0.34124694318944354,3000,13.49,0.1,1,5,0,0
54434,30,40000,4.0,0.4841067276764486,4000,10.37,0.1,0,6,0,0
36628,25,38400,9.0,-0.26697081618436225,10000,15.62,0.26,1,2,0,0
328,24,75000,4.0,-0.2362778376648724,20000,12.69,0.27,0,4,0,0
7194,26,26988,10.0,-0.26697081618436225,5800,10.59,0.21,0,3,0,1
14178,25,25000,0.0,0.08069432625986454,8500,6.91,0.34,0,3,0,0
39873,29,70000,13.0,0.31837825526225194,15000,7.9,0.21,0,9,0,1
5189,25,82500,3.0,0.31837825526225194,28000,13.16,0.37,1,3,0,1
22261,31,54000,13.0,0.31837825526225194,2000,10.74,0.04,0,10,0,0
6153,24,69996,4.0,-0.2362778376648724,11700,11.71,0.18,0,2,0,0
42176,35,70000,0.0,0.31837825526225194,2000,8.59,0.03,0,9,0,0
30172,25,36000,0.0,-0.34124694318944354,7500,6.03,0.21,0,4,0,1
34010,24,55000,7.0,0.4841067276764486,14400,7.14,0.25,0,2,0,1
16589,25,56000,5.0,-0.34124694318944354,12000,15.27,0.21,1,3,0,1
12373,30,55000,6.0,0.31837825526225194,15000,15.27,0.27,0,6,1,0
29589,22,75000,6.0,-0.26697081618436225,10000,7.88,0.13,0,2,0,0
48403,30,60000,11.0,-0.34124694318944354,15000,11.86,0.25,0,8,0,1
55646,26,58000,10.0,-0.26697081618436225,12000,8.59,0.21,0,4,0,1
53638,26,150000,4.0,-0.26697081618436225,24000,11.83,0.16,0,2,0,1
36484,21,50000,0.0,0.4841067276764486,14000,6.92,0.28,0,2,1,0
5488,35,31100,16.0,-0.26697081618436225,3000,14.59,0.1,0,9,0,1
6055,25,75000,9.0,-0.26697081618436225,10000,7.88,0.13,0,4,0,0
10508,27,120000,2.0,-0.26697081618436225,8000,13.72,0.07,0,8,0,0
29875,22,52500,6.0,-0.34124694318944354,12000,7.88,0.23,0,3,0,1
47687,37,65000,2.0,-0.34124694318944354,3600,7.51,0.06,0,16,0,0
4901,29,50000,2.0,-0.34124694318944354,3200,9.63,0.06,0,5,0,0
21542,24,90000,8.0,0.4841067276764486,3000,6.62,0.03,0,3,0,1
40989,47,100000,4.0,-0.26697081618436225,4800,10.99,0.05,0,11,0,0
42128,35,45000,0.0,-0.26697081618436225,4200,11.34,0.1,1,7,0,0
6023,37,39996,7.0,0.4841067276764486,12000,8.94,0.3,0,14,0,0
36384,22,60000,0.0,0.4841067276764486,10000,7.14,0.17,0,3,1,0
22241,22,75000,6.0,0.08069432625986454,10000,6.03,0.13,0,4,0,0
24240,29,54000,3.0,0.08069432625986454,13200,12.73,0.24,0,8,0,0
46168,34,45000,3.0,0.4841067276764486,15000,10.65,0.33,0,10,1,0
34624,30,48000,1.0,0.08069432625986454,6000,5.79,0.13,0,7,0,0
23483,23,48756,2.0,0.08069432625986454,4800,11.36,0.1,0,8,0,0
25008,21,120000,4.0,0.31837825526225194,6000,10.59,0.05,0,2,0,0
35341,31,47000,4.0,-0.34124694318944354,3000,14.35,0.06,0,10,0,0
13674,30,62256,1.0,-0.2362778376648724,9000,10.59,0.14,1,10,0,1
17534,25,30000,9.0,-0.34124694318944354,10000,15.33,0.33,0,2,0,0
22319,23,35900,3.0,-0.34124694318944354,6000,7.88,0.17,0,3,0,0
46462,21,140000,5.0,0.31837825526225194,7000,13.49,0.05,0,4,0,1
36372,31,30000,0.0,-0.34124694318944354,3000,7.51,0.1,0,7,0,0
789,27,40000,5.0,0.31837825526225194,8000,12.99,0.2,0,5,0,0
52589,30,79618,11.0,0.31837825526225194,12000,11.49,0.15,0,9,0,1
46906,23,45000,4.0,0.31837825526225194,4000,7.14,0.09,0,2,0,0
3214,23,36000,0.0,-0.26697081618436225,5000,6.99,0.14,0,4,0,0
20678,27,105000,11.0,0.4841067276764486,7500,11.03,0.07,1,7,0,1
14399,27,51996,11.0,0.08069432625986454,9600,7.51,0.18,0,6,0,1
35154,26,26400,5.0,-0.34124694318944354,8000,9.99,0.3,0,4,0,0
58366,28,80000,4.0,0.31837825526225194,13000,6.62,0.16,0,10,0,1
13402,22,54000,6.0,-0.34124694318944354,5000,5.42,0.09,0,2,0,1
16364,27,69000,6.0,0.31837825526225194,6800,15.65,0.1,1,8,0,0
31209,25,36000,2.0,-0.34124694318944354,7000,10.38,0.19,0,2,0,0
44754,26,24000,5.0,0.4841067276764486,6000,8.9,0.25,0,2,1,0
56196,26,79000,10.0,-0.34124694318944354,20000,11.12,0.25,0,4,0,1
26628,23,60000,7.0,-0.26697081618436225,15000,11.83,0.25,0,3,0,1
55716,24,25000,5.0,0.31837825526225194,2400,14.42,0.1,1,2,0,0
7141,32,35000,2.0,0.08069432625986454,4000,6.17,0.11,0,6,0,0
23905,48,60000,0.0,-0.26697081618436225,8000,18.25,0.12,0,13,0,0
13336,42,93500,1.0,-0.26697081618436225,6000,11.99,0.06,0,12,0,1
14926,22,60000,1.0,0.31837825526225194,10800,12.21,0.18,0,2,0,0
33651,29,50000,4.0,-0.2362778376648724,15000,8.9,0.3,0,10,0,0
42770,25,62000,9.0,0.08069432625986454,9100,7.9,0.15,0,2,0,0
30685,46,100000,4.0,-0.26697081618436225,5000,10.65,0.05,0,14,0,1
30382,31,80000,6.0,-0.2362778376648724,22000,7.9,0.27,0,9,0,1
36366,30,50000,4.0,-0.34124694318944354,6000,6.76,0.12,0,7,0,1
9063,22,36000,2.0,-0.34124694318944354,5000,12.61,0.14,0,2,0,0
39122,27,68700,0.0,-0.2362778376648724,10000,12.53,0.15,0,7,0,0
2140,22,26400,1.0,0.31837825526225194,6000,15.62,0.23,0,3,0,1
17438,51,55000,3.0,0.4841067276764486,5000,10.38,0.09,0,25,0,0
21802,28,30000,4.0,0.4841067276764486,3000,11.49,0.1,0,9,0,1
54144,43,40000,14.0,0.08069432625986454,12000,8.49,0.29,0,12,0,0
50356,33,82000,5.0,0.4841067276764486,6000,7.49,0.07,0,5,0,1
55836,24,47000,9.0,-0.34124694318944354,4000,9.32,0.08,0,2,0,1
11071,24,70000,1.0,0.4841067276764486,10000,11.71,0.14,0,3,0,0
13887,31,85000,0.0,-0.26697081618436225,5000,11.14,0.06,0,7,0,0
46797,27,60000,2.0,-0.34124694318944354,10000,6.54,0.17,0,6,0,1
27041,27,74029,0.0,-0.34124694318944354,3000,10.36,0.04,0,7,0,0
37760,27,42000,11.0,0.31837825526225194,7000,7.68,0.17,0,10,1,0
36654,23,36000,1.0,0.31837825526225194,12000,11.71,0.33,0,4,0,0
18727,30,40000,9.0,0.08069432625986454,6400,14.22,0.16,0,6,0,0
39564,24,40000,0.0,0.31837825526225194,10000,13.35,0.25,0,3,0,0
51045,24,56000,3.0,-0.26697081618436225,4750,10.08,0.09,0,4,0,1
48876,25,50000,5.0,0.4841067276764486,5600,11.71,0.11,0,4,0,0
29877,33,150000,12.0,-0.26697081618436225,25000,7.88,0.17,0,8,0,1
28239,27,80000,2.0,-0.34124694318944354,2000,5.99,0.03,0,6,0,1
28922,36,25000,3.0,0.4841067276764486,10000,11.48,0.4,0,11,0,0
38436,23,80400,7.0,-0.26697081618436225,9000,10.65,0.11,0,2,0,1
50136,24,120000,8.0,0.4841067276764486,18000,13.61,0.15,1,3,1,0
41222,34,42000,0.0,-0.34124694318944354,6000,8.9,0.14,0,8,0,0
7247,21,51996,5.0,-0.34124694318944354,2000,7.51,0.04,0,3,0,0
30498,26,90000,0.0,0.31837825526225194,6000,11.71,0.07,0,3,0,1
56801,28,20000,0.0,-0.34124694318944354,1200,10.37,0.06,0,7,0,0
38320,22,60000,1.0,-0.34124694318944354,10000,7.29,0.17,0,3,0,1
36581,22,41000,7.0,-0.34124694318944354,7200,11.71,0.18,0,2,0,1
29291,30,25200,2.0,-0.34124694318944354,1800,12.42,0.07,0,9,0,0
7556,27,50000,0.0,-0.2362778376648724,9000,12.09,0.18,1,6,0,0
24278,31,45000,2.0,-0.26697081618436225,6000,17.19,0.13,1,6,0,0
30268,22,40000,5.0,0.31837825526225194,10000,10.0,0.25,0,4,0,0
34228,25,60000,6.0,0.4841067276764486,25000,10.08,0.42,0,4,0,0
36182,23,36000,7.0,0.4841067276764486,8000,7.49,0.22,0,4,0,1
10443,25,50004,5.0,0.08069432625986454,5300,9.63,0.11,0,4,0,1
54883,45,49800,13.0,-0.2362778376648724,2400,6.99,0.05,0,12,0,1
53584,30,45000,10.0,-0.2362778376648724,7000,12.68,0.16,1,6,1,0
9776,37,65000,9.0,-0.26697081618436225,25000,9.25,0.38,0,16,0,0
37559,26,75000,0.0,-0.34124694318944354,7200,11.49,0.1,0,2,0,1
22293,31,132000,1.0,-0.2362778376648724,11200,10.99,0.08,0,7,0,0
30255,22,70000,2.0,0.4841067276764486,20000,9.88,0.29,0,3,0,0
24969,22,40000,0.0,0.08069432625986454,3000,6.62,0.07,0,3,0,1
15383,34,29000,2.0,-0.26697081618436225,6000,10.62,0.21,0,8,0,0
49287,25,95000,5.0,0.4841067276764486,25000,9.62,0.26,0,3,0,1
19849,35,95000,0.0,0.08069432625986454,3200,13.72,0.03,0,6,0,0
13865,30,64000,11.0,0.08069432625986454,2500,6.62,0.04,0,7,0,1
57286,35,80004,0.0,-0.34124694318944354,14500,10.75,0.18,0,8,0,0
10250,22,30000,4.0,0.31837825526225194,10000,13.22,0.33,0,3,0,0
37623,23,35004,1.0,0.08069432625986454,6000,10.59,0.17,0,3,0,0
30486,24,85000,5.0,0.4841067276764486,10000,10.36,0.12,0,2,0,1
16846,24,60000,0.0,0.31837825526225194,12000,11.66,0.2,0,4,0,0
5562,29,50000,0.0,0.08069432625986454,5000,9.25,0.1,0,5,0,0
26427,29,40000,6.0,-0.2362778376648724,2000,8.0,0.05,0,8,0,0
10729,21,14400,2.0,0.08069432625986454,4000,10.99,0.26,0,4,0,0
35397,22,175000,3.0,0.4841067276764486,7550,11.72,0.04,0,2,0,0
19154,24,60000,6.0,-0.26697081618436225,10000,13.99,0.17,0,3,0,1
7001,25,50000,5.0,-0.26697081618436225,18000,7.9,0.36,0,2,1,0
702,24,58000,8.0,0.4841067276764486,14000,10.38,0.24,0,2,0,0
30589,29,75000,3.0,0.08069432625986454,15000,10.75,0.2,0,8,0,0
34095,31,85224,15.0,0.08069432625986454,16000,7.51,0.19,0,7,0,1
40399,25,85000,7.0,-0.2362778376648724,8000,10.36,0.1,0,2,0,1
52995,30,62050,14.0,-0.26697081618436225,5000,14.96,0.06,1,8,0,1
57524,29,65000,3.0,-0.34124694318944354,7000,9.99,0.11,0,10,0,0
26650,29,125000,4.0,0.4841067276764486,12000,10.65,0.1,0,10,0,1
1035,21,50004,0.0,-0.26697081618436225,2500,7.51,0.05,0,2,0,1
37605,25,130000,9.0,-0.26697081618436225,13000,6.99,0.01,0,4,0,1
23957,35,32000,1.0,-0.26697081618436225,7200,11.99,0.23,0,10,0,0
42969,32,95200,15.0,-0.2362778376648724,2000,5.99,0.02,0,5,0,1
14682,23,95000,0.0,0.31837825526225194,14000,7.88,0.15,0,2,0,0
56306,40,85000,16.0,0.4841067276764486,12000,7.51,0.14,0,14,1,0
50448,38,60000,3.0,0.31837825526225194,10000,12.42,0.17,0,11,0,1
55786,31,41004,2.0,-0.26697081618436225,3000,11.14,0.07,0,10,0,0
39673,23,87550,7.0,-0.26697081618436225,18000,13.23,0.16,1,4,0,1
190,22,48996,4.0,-0.34124694318944354,10000,6.17,0.2,0,4,0,1
5378,33,30000,2.0,0.31837825526225194,15000,10.99,0.5,0,7,0,0
32173,23,72000,7.0,-0.34124694318944354,4800,5.42,0.07,0,3,0,1
28082,21,70000,5.0,0.31837825526225194,10000,7.29,0.14,0,3,0,0
47039,23,60000,2.0,0.31837825526225194,8000,14.42,0.13,1,3,0,0
13362,25,88296,5.0,0.08069432625986454,15000,12.18,0.17,0,2,0,0
51449,24,62000,3.0,0.4841067276764486,12000,6.62,0.19,0,2,0,0
26947,24,75000,1.0,0.08069432625986454,12000,15.68,0.16,1,2,0,1
55664,28,100000,6.0,-0.2362778376648724,4800,12.99,0.05,1,9,0,1
26043,27,91080,4.0,-0.2362778376648724,19200,15.37,0.21,0,10,0,1
30354,23,42000,2.0,0.4841067276764486,6500,5.99,0.15,0,4,0,1
13650,24,52000,5.0,0.31837825526225194,6000,8.9,0.12,0,3,0,0
49726,25,45000,0.0,-0.26697081618436225,7500,12.53,0.17,1,3,0,0
56137,23,50000,2.0,0.4841067276764486,8000,6.76,0.16,0,4,1,0
40947,28,35000,2.0,0.31837825526225194,3000,7.88,0.09,0,9,0,0
5105,24,70000,3.0,0.31837825526225194,6000,7.14,0.09,0,2,0,1
10570,25,76066,9.0,-0.26697081618436225,24250,15.65,0.32,0,4,1,0
3999,24,57996,6.0,-0.2362778376648724,15000,11.11,0.26,0,2,1,0
54312,28,98400,9.0,-0.26697081618436225,20000,11.83,0.2,0,9,0,1
14595,22,72000,0.0,0.4841067276764486,6000,9.63,0.08,0,4,0,1
1208,24,30000,0.0,-0.26697081618436225,9000,13.85,0.3,1,2,0,0
21125,33,65000,14.0,-0.2362778376648724,11200,12.42,0.18,0,5,0,0
44331,23,42000,3.0,0.4841067276764486,1600,11.49,0.04,0,3,0,1
48953,35,90000,4.0,-0.34124694318944354,20000,6.54,0.22,0,10,0,0
52050,27,82500,0.0,-0.34124694318944354,7200,8.9,0.09,0,8,0,0
52920,50,51160,1.0,-0.26697081618436225,9000,9.76,0.18,0,14,0,0
15164,30,100000,4.0,-0.2362778376648724,4800,9.63,0.05,0,6,0,1
53728,22,60500,4.0,0.31837825526225194,2400,9.62,0.04,0,2,0,1
46208,22,46932,6.0,0.08069432625986454,7000,7.51,0.14,0,3,0,1
58149,26,105000,10.0,-0.2362778376648724,26375,10.62,0.25,0,3,0,1
30254,30,58000,8.0,-0.34124694318944354,13000,6.99,0.22,0,10,0,1
18116,25,60000,8.0,-0.2362778376648724,10500,7.74,0.17,0,2,0,1
18562,30,50000,7.0,-0.34124694318944354,5000,7.51,0.1,0,5,0,0
8855,26,76250,6.0,0.4841067276764486,10000,10.71,0.13,0,2,0,0
34848,22,85000,3.0,0.31837825526225194,12000,13.16,0.14,0,3,1,0
29782,22,66000,6.0,-0.26697081618436225,9250,13.49,0.14,0,3,0,1
1740,23,49600,7.0,0.4841067276764486,8000,15.23,0.16,1,2,0,0
1978,23,75000,2.0,0.31837825526225194,8000,9.91,0.11,0,2,0,0
52744,29,73000,3.0,-0.2362778376648724,6000,10.62,0.08,0,6,0,0
6074,31,31000,0.0,-0.2362778376648724,2850,15.21,0.09,1,8,1,0
13142,28,60000,4.0,0.08069432625986454,6000,6.62,0.1,0,6,0,1
41033,28,33600,12.0,0.08069432625986454,10000,5.42,0.3,0,9,0,1
9866,26,75000,8.0,0.4841067276764486,5000,14.35,0.07,1,3,0,1
20360,27,108000,11.0,0.4841067276764486,20000,12.53,0.19,0,5,0,0
20081,24,79000,4.0,-0.2362778376648724,2750,12.86,0.04,1,4,0,0
55016,58,78000,4.0,0.4841067276764486,12000,13.06,0.15,0,27,0,0
57779,22,53000,6.0,0.31837825526225194,15000,19.42,0.28,0,4,0,0
15970,29,39000,9.0,0.31837825526225194,1600,10.59,0.04,0,6,0,0
