,transaction_time__avg min between sent tnx,transaction_time__avg min between received tnx,transaction_time__time diff between first and last (mins),number_of_transactions__sent tnx,number_of_transactions__received tnx,number_of_transactions__number of created contracts,number_of_transactions__unique received from addresses,number_of_transactions__unique sent to addresses,ether_value__min value received,ether_value__max value received,ether_value__avg val received,ether_value__min val sent,ether_value__max val sent,ether_value__avg val sent,ether_value__min value sent to contract,ether_value__max val sent to contract,ether_value__avg value sent to contract,number_of_transactions__total transactions (including tnx to create contract,ether__total ether sent,ether__total ether received,ether__total ether sent contracts,ether__total ether balance,erc20__total erc20 tnxs,erc20__erc20 total ether received,erc20__erc20 total ether sent,erc20__erc20 total ether sent contract,erc20__erc20 uniq sent addr,erc20_num_of_transactions__erc20 uniq rec addr,erc20_num_of_transactions__erc20 uniq sent addr.1,erc20_num_of_transactions__erc20 uniq rec contract addr,erc20_value__erc20 min val rec,erc20_value__erc20 max val rec,erc20_value__erc20 avg val rec,erc20_value__erc20 min val sent,erc20_value__erc20 max val sent,erc20_value__erc20 avg val sent,erc20__erc20 uniq sent token name,erc20__erc20 uniq rec token name
5938,39340.24,9441.54,273807.62,6,4,0,4,5,0.199849,0.42,0.275376,0.0025,0.467205,0.183013,0.0,0.0,0.0,10,1.098080501,1.1015035009999998,0.0,0.003423,1.0,0.031637045,0.0,0.0,0.0,1.0,0.0,1.0,0.031637,0.031637,0.031637,0.0,0.0,0.0,0.0,1.0
5495,0.0,0.0,4.8,0,1,1,1,0,2.99,2.99,2.99,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,2.99,0.0,2.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8117,4445.14,1463.96,17727.3,3,3,0,2,2,0.3,1.5,0.716609,0.447245,1.0,0.7157479999999999,0.0,0.0,0.0,6,2.14724543,2.14982843,0.0,0.002583,2.0,3.799237535,0.0,0.0,0.0,2.0,0.0,2.0,1.7,2.099238,1.899619,0.0,0.0,0.0,0.0,2.0
6210,346.6,11476.83,425336.02,2,37,1,4,2,0.015541,102.407463,22.15583,0.0,0.011311,0.005655,0.0,0.0,0.0,40,0.011310938,819.765709,0.0,819.754398,37.0,49996.24782,0.0,0.0,0.0,31.0,0.0,36.0,0.0,20180.614,1351.249941,0.0,0.0,0.0,0.0,36.0
9526,0.0,0.0,2259.75,1,1,0,1,1,1.309746,1.309746,1.309746,1.308885,1.308885,1.308885,0.0,0.0,0.0,2,1.3088848999999998,1.3097458999999998,0.0,0.0008609999999999,1.0,1.337,0.0,0.0,0.0,1.0,0.0,1.0,1.337,1.337,1.337,0.0,0.0,0.0,0.0,1.0
8972,0.0,0.0,16951.6,1,1,0,1,1,0.666475,0.666475,0.666475,0.665614,0.665614,0.665614,0.0,0.0,0.0,2,0.66561388,0.66647488,0.0,0.0008609999999999,1.0,2.164882048,0.0,0.0,0.0,1.0,0.0,1.0,2.164882,2.164882,2.164882,0.0,0.0,0.0,0.0,1.0
2253,0.0,16745.47,100472.82,0,6,1,3,0,0.0,10.0,5.780215,0.0,0.0,0.0,0.0,0.0,0.0,7,0.0,34.68129065,0.0,34.68129065,1.0,0.5597584879999999,0.0,0.0,0.0,1.0,0.0,1.0,0.559758,0.559758,0.559758,0.0,0.0,0.0,0.0,1.0
7643,0.0,0.0,172.02,1,1,0,1,1,1.232233,1.232233,1.232233,1.230033,1.230033,1.230033,0.0,0.0,0.0,2,1.23003348,1.23223348,0.0,0.0022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
382,167023.71,0.0,501071.13,3,1,0,1,3,6.812200999999999,6.812200999999999,6.812200999999999,0.098173,4.312201,2.270125,0.0,0.0,0.0,4,6.81037365,6.81220065,0.0,0.001827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3665,13159.9,1941.92,437329.9,17,110,0,3,1,0.010344,0.136403,0.100214,0.338056,0.998458,0.647878,0.0,0.0,0.0,127,11.01392035,11.02357173,0.0,0.009651372,5.0,77.80008311,0.0,0.0,0.0,5.0,0.0,5.0,0.0,68.86967299999999,15.560017000000002,0.0,0.0,0.0,0.0,5.0
4448,2.35,0.03,9.47,4,2,0,2,4,521.802742,1479.197258,1000.5,0.001078,1453.33174,500.249528,0.0,0.0,0.0,6,2000.998113,2001.0,0.0,0.001886545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9143,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.337,0.0,0.0,0.0,1.0,0.0,1.0,1.337,1.337,1.337,0.0,0.0,0.0,0.0,1.0
3133,1.62,0.42,5.68,3,2,0,2,3,815.109414,1185.890586,1000.5,0.002521,1577.749773,666.999528,0.0,0.0,0.0,5,2000.998585,2001.0,0.0,0.001414909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5170,0.0,0.0,362.68,1,1,0,1,1,0.5,0.5,0.5,0.49938,0.49938,0.49938,0.0,0.0,0.0,2,0.49938,0.5,0.0,0.00062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
654,1.38,183.45,369.67,2,2,0,2,1,1.614981,1.705271,1.6601259999999998,1.614141,1.704431,1.659286,0.0,0.0,0.0,4,3.31857246,3.32025246,0.0,0.00168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6638,0.0,29440.95,88322.85,0,3,1,2,0,0.0,252.0,87.333333,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,262.0,0.0,262.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1738,161.24,0.94,324.37,2,2,0,2,2,9.21945,91.78055,50.5,0.325442,100.673573,50.499508,0.0,0.0,0.0,4,100.9990158,101.0,0.0,0.000984218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3247,4636.83,3522.14,511027.08,54,74,0,3,1,0.051012,0.629525,0.12541,0.05026,0.627988,0.170878,0.0,0.0,0.0,128,9.227423849,9.280326294,0.0,0.052902445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7022,10564.23,959.5,149818.18,14,2,0,1,6,0.01,0.01,0.01,0.0,0.012767,0.000912,0.0,0.0,0.0,16,0.012766995,0.02,0.0,0.007233005,26.0,833857.6756,833857.6756,0.0,1.0,4.0,0.0,5.0,2e-06,150000.0,64142.89812000001,2e-06,150000.0,64142.89812000001,5.0,5.0
5331,0.0,14776.15,132985.32,0,9,1,3,0,0.0,52.44300000000001,14.684167,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,132.1575,0.0,132.1575,1.0,1.335120962,0.0,0.0,0.0,1.0,0.0,1.0,1.335121,1.335121,1.335121,0.0,0.0,0.0,0.0,1.0
890,5724.61,2837.76,1014423.82,143,69,0,24,39,0.03822,21.9,8.386439999999999,0.0,40.0,4.226309,0.0,0.0,0.0,212,604.3621695,578.6643381,0.0,-25.69783146,148.0,1166255.449,1029449.955,0.0,24.0,46.0,0.0,39.0,0.0,270018.858,13252.90284,0.0,256096.87,17157.49925,14.0,39.0
2284,51087.09,19369.78,466806.08,8,3,0,2,8,0.014673,0.079107,0.042439,0.0,0.043887,0.015567,0.0,0.0,0.0,11,0.124533527,0.12731818,0.0,0.002784653,6.0,2.056622455,2.056622455,0.0,1.0,3.0,0.0,3.0,0.0,2.056622,0.685541,0.0,2.056622,0.685541,3.0,3.0
8211,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3845,0.0,15118.72,60474.87,0,4,1,2,0,0.0,5.519,2.96397,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,11.85588,0.0,11.85588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8769,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.337,0.0,0.0,0.0,1.0,0.0,1.0,1.337,1.337,1.337,0.0,0.0,0.0,0.0,1.0
4113,0.0,32061.7,128246.82,0,4,1,4,0,1.499528,2.399493,1.962255,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,7.8490209,0.0,7.8490209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3748,162.18,0.43,325.23,2,2,0,2,2,44.15195,56.84805,50.5,0.726395,100.27262,50.499508,0.0,0.0,0.0,4,100.9990158,101.0,0.0,0.000984218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5792,155.91,0.0,311.82,2,1,0,1,2,101.0,101.0,101.0,0.7715,100.227516,50.499508,0.0,0.0,0.0,3,100.9990158,101.0,0.0,0.000984218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7023,15.99,28969.79,144928.92,5,5,0,2,1,0.298947,10.0,6.018562999999999,0.298474,9.999558,6.018043,0.0,0.0,0.0,10,30.09021542,30.09281657,0.0,0.002601158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5735,5662.54,3977.51,1382974.7,148,137,0,10,33,0.486073,2499.99,422.8356940000001,0.0,6499.344571000001,408.286693,0.0,0.0,0.0,285,60426.43061,57928.49005,0.0,-2497.94056,191.0,2876425.912,2846279.438,0.0,22.0,41.0,0.0,40.0,0.0,334157.413,23196.98316,0.0,495800.8856,42481.78265,17.0,40.0
8359,249.59,253.5,4301.65,2,15,0,14,2,0.002,5.154,1.047694,5.153580000000002,10.560993,7.857286999999999,0.0,0.0,0.0,17,15.71457338,15.71541338,0.0,0.00084,2.0,1.337,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.337,0.6685,0.0,0.0,0.0,0.0,2.0
1299,0.0,0.0,4.98,1,3,0,3,1,0.009118,8.998677,3.335638,10.006441,10.006441,10.006441,0.0,0.0,0.0,4,10.00644115,10.00691279,0.0,0.000471636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7155,0.0,1453.77,226788.12,0,156,1,3,0,0.0,1.571751,0.851018,0.0,0.0,0.0,0.0,0.0,0.0,157,0.0,132.7588466,0.0,132.7588466,2.0,2.77514918,0.0,0.0,0.0,2.0,0.0,2.0,0.79786,1.977289,1.387575,0.0,0.0,0.0,0.0,2.0
4275,27766.84,5600.83,588941.75,20,6,0,2,10,0.4,35.0,10.733333,0.0,50.0,3.2145,0.0,0.0,0.0,26,64.29,64.4,0.0,0.11,21.0,911945.4074,911937.5,0.0,6.0,8.0,0.0,5.0,0.0,495000.0,70149.64672,0.0,424999.0,113992.1875,4.0,5.0
8597,370.37,646.91,6286.37,3,8,0,6,3,0.017433,1.647097,0.690279,0.489517,4.02815,1.840262,0.0,0.0,0.0,11,5.52078551,5.52223451,0.0,0.001449,2.0,113.37,0.0,0.0,0.0,2.0,0.0,2.0,13.37,100.0,56.685,0.0,0.0,0.0,0.0,2.0
2850,0.0,0.0,385.6,1,1,0,1,1,0.999559,0.999559,0.999559,0.998939,0.998939,0.998939,0.0,0.0,0.0,2,0.998939,0.999559,0.0,0.00062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9166,757.47,28.5,53682.07,65,156,0,136,12,0.0,10.0,0.922307,0.04083,4.0,2.234619,0.0,0.0,0.0,221,145.2502133,143.87984980000004,0.0,-1.3703635769999998,2.0,15001.337,0.0,0.0,0.0,2.0,0.0,2.0,1.337,15000.0,7500.6685,0.0,0.0,0.0,0.0,2.0
737,4.33,8067.27,1186508.93,143,147,0,3,1,0.0169889999999999,1.00063,0.196691,0.047041,0.99993,0.201177,0.0,0.0,0.0,290,28.76824349,28.91356092,0.0,0.145317434,1.0,0.01,0.0,0.0,0.0,1.0,0.0,1.0,0.01,0.01,0.01,0.0,0.0,0.0,0.0,1.0
5745,0.0,2099.81,226779.32,0,108,1,3,0,0.0,0.44158,0.202053,0.0,0.0,0.0,0.0,0.0,0.0,109,0.0,21.82174764,0.0,21.82174764,2.0,1.066871238,0.0,0.0,0.0,2.0,0.0,2.0,0.249434,0.817437,0.533436,0.0,0.0,0.0,0.0,2.0
6977,20.25,0.0,60.75,3,1,0,1,3,101.0,101.0,101.0,2.0,53.43318299999999,33.666149,0.0,0.0,0.0,4,100.998446,101.0,0.0,0.0015539999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7413,6.06,16754.43,268143.57,12,16,0,7,1,0.005,6.0,1.447649,0.146956,5.998241999999999,1.9283740000000005,0.0,0.0,0.0,28,23.14048449,23.16238215,0.0,0.02189766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5093,160.45,3439.84,1033276.68,94,296,0,2,1,0.20001,1.130113,0.258793,0.598902,1.4691459999999998,0.8096760000000001,0.0,0.0,0.0,390,76.10951743,76.60282064,0.0,0.49330321,5.0,469.058773,0.0,0.0,0.0,4.0,0.0,5.0,0.0,365.0,93.811755,0.0,0.0,0.0,0.0,5.0
4212,2959.63,11077.89,792698.18,47,59,0,7,3,0.012069,0.55284,0.123495,0.01211,1.201175,0.154567,0.0,0.0,0.0,106,7.26463224,7.28620061,0.0,0.02156837,1.0,7.77e-16,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
9,2570.59,3336.01,30572.7,8,3,0,2,4,0.1,40.0,16.7,0.1,40.0,18.634625,0.0,0.0,0.0,11,149.077,50.1,0.0,-98.977,1.0,600.0,0.0,0.0,0.0,1.0,0.0,1.0,600.0,600.0,600.0,0.0,0.0,0.0,0.0,1.0
9791,711.93,1085.82,19811.05,8,13,0,12,6,0.005,10.0,2.129944,0.0819999999999999,25.0,3.460202,0.0,0.0,0.0,21,27.68161279,27.68927779,0.0,0.007665,1.0,1.337,0.0,0.0,0.0,1.0,0.0,1.0,1.337,1.337,1.337,0.0,0.0,0.0,0.0,1.0
6898,0.0,718.18,198934.83,0,277,1,5,0,0.0,25.0,1.119321,0.0,0.0,0.0,0.0,0.0,0.0,278,0.0,310.0519242000001,0.0,310.0519242000001,2.0,5.107575345,0.0,0.0,0.0,2.0,0.0,2.0,0.318912,4.788663,2.553788,0.0,0.0,0.0,0.0,2.0
9084,0.0,459.27,80420.92,1,3,0,3,1,0.6,1.54188,1.047293,3.13573,3.13573,3.13573,0.0,0.0,0.0,4,3.135730008,3.141880008,0.0,0.00615,1.0,13.37,0.0,0.0,0.0,1.0,0.0,1.0,13.37,13.37,13.37,0.0,0.0,0.0,0.0,1.0
2383,1.02,2.23,9.77,3,3,0,2,1,0.1,6.9,2.366667,0.199406,6.699432000000002,2.366085,0.0,0.0,0.0,6,7.09825617,7.1,0.0,0.00174383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3975,5005.32,323.46,46665.18,9,5,0,3,7,0.01,321.0,96.554073,1.271,161.9,53.640612,0.0,0.0,0.0,14,482.7655107,482.770365,0.0,0.004854288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9732,5159.07,754.49,17108.58,2,9,0,9,2,0.00034,0.9,0.451624,2.0,2.0,2.0,0.0,0.0,0.0,11,4.0,4.06461454,0.0,0.06461454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
304,0.0,2606.57,226771.23,0,87,1,4,0,0.0,1.008521,0.940666,0.0,0.0,0.0,0.0,0.0,0.0,88,0.0,81.8379298,0.0,81.8379298,3.0,3.721844893,0.0,0.0,0.0,3.0,0.0,3.0,0.741445,2.0,1.240615,0.0,0.0,0.0,0.0,3.0
9153,0.0,40091.89,200459.45,0,5,1,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3473,105.38,0.63,317.4,3,2,0,2,2,45.905318,55.09468199999999,50.5,0.1,78.500512,33.66617100000001,0.0,0.0,0.0,5,100.9985118,101.0,0.0,0.001488218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1810,15834.46,4347.46,168594.93,9,6,0,2,7,0.98,19.0,9.93,0.0,50.06,6.874186,0.0,0.0,0.0,15,61.8676748,59.58,0.0,-2.2876748,4.0,402.771476,399.0,0.0,1.0,2.0,0.0,2.0,3.771476,399.0,201.385738,1.0,398.0,199.5,1.0,2.0
927,9312.07,11088.47,1200023.08,86,36,0,12,44,0.001,40.0,6.856375,0.0,108.8,4.343751,0.0,0.0,0.0,122,373.562612,246.8294831,0.0,-126.7331289,97.0,6442.974429,8536.287060999999,0.0,8.0,22.0,0.0,33.0,0.0,1507.655661,117.14499,0.0,2500.0,203.24493,26.0,33.0
5963,198.83,8074.85,562212.68,66,68,0,2,1,0.1313099999999999,10.533958,1.145949,0.801269,10.532758,1.178034,0.0,0.0,0.0,134,77.75025006,77.92454475,0.0,0.174294686,3.0,367.2087271,0.0,0.0,0.0,2.0,0.0,3.0,0.0,365.0,122.402909,0.0,0.0,0.0,0.0,3.0
9366,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,13.37,0.0,0.0,0.0,1.0,0.0,1.0,13.37,13.37,13.37,0.0,0.0,0.0,0.0,1.0
5103,164.23,0.82,330.08,2,2,0,2,2,2.609188,98.390812,50.5,2.0,98.998974,50.499487,0.0,0.0,0.0,4,100.9989738,101.0,0.0,0.001026218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4389,170.65,2356.55,326796.63,106,131,0,4,1,0.004005,1.279099,0.977181,0.99468,3.004261,1.207463,0.0,0.0,0.0,237,127.991111,128.0107003,0.0,0.019589374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6434,29476.99,13066.6,848145.13,27,4,0,3,17,0.00134,14.2369,4.785342,0.0,11.780887,1.004276,0.0,0.0,0.0,31,27.11544633,19.14136685,0.0,-7.974079477999999,28.0,36623.99724,30837.41234,0.0,10.0,14.0,0.0,16.0,0.0,19473.46293,2154.352779,0.0,19473.46293,2803.401121,10.0,15.0
9443,2737.84,3508.36,38247.73,5,7,0,7,3,0.005,5.9668730000000005,2.2235270000000003,0.1,11.460381,3.112076,0.0,0.0,0.0,12,15.56038109,15.56468609,0.0,0.004305,1.0,100.0,0.0,0.0,0.0,1.0,0.0,1.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,1.0
8815,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.337,0.0,0.0,0.0,1.0,0.0,1.0,1.337,1.337,1.337,0.0,0.0,0.0,0.0,1.0
8957,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6923,0.0,0.0,4.02,1,1,0,1,1,0.495,0.495,0.495,0.494528,0.494528,0.494528,0.0,0.0,0.0,2,0.494528364,0.495,0.0,0.000471636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1323,159.63,0.33,319.92,2,2,0,2,2,30.570382,70.429618,50.5,10.56,90.439016,50.499508,0.0,0.0,0.0,4,100.9990158,101.0,0.0,0.000984218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
659,216.89,46.66,653215.9,1096,8904,0,1646,529,0.0,640.2712799999998,8.338713,0.03,2000.0,51.909624,0.0,0.0,0.0,10000,56892.94749,74247.89855,0.0,17354.95106,135.0,42960759.65,2966114.0,0.0,2.0,58.0,0.0,69.0,0.0,13331992.0,401502.4266,0.0,700000.0,105932.6429,6.0,69.0
5785,138354.48,256.55,277735.15,2,4,0,1,2,0.029894,0.1642,0.081055,0.0033,0.32,0.16165,0.0,0.0,0.0,6,0.3233,0.32421967,0.0,0.00091967,1.0,0.024422267,0.0,0.0,0.0,1.0,0.0,1.0,0.024422,0.024422,0.024422,0.0,0.0,0.0,0.0,1.0
2801,59938.0,131018.15,692744.43,5,3,0,2,5,1.0,20.0,10.166667,0.0,29.4,6.0990400000000005,0.0,0.0,0.0,8,30.4952,30.5,0.0,0.0048,12.0,293833.6193,293460.0,0.0,2.0,10.0,0.0,10.0,0.0,291060.0,29383.361930000006,2400.0,291060.0,146730.0,2.0,9.0
2424,17.53,0.0,70.13,4,1,0,1,3,101.0,101.0,101.0,0.022116,86.581227,25.249475,0.0,0.0,0.0,5,100.9979,101.0,0.0,0.0021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4979,3.34,8083.36,161733.92,20,20,0,2,20,0.050852,1.008365,0.833935,0.050432,1.007925,0.833463,0.0,0.0,0.0,40,16.66926442,16.67870304,0.0,0.00943862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2559,0.75,8615.98,34466.9,4,4,0,1,2,0.018861,0.170143,0.076697,0.018021,0.168883,0.075647,0.0,0.0,0.0,8,0.302586998,0.306786998,0.0,0.0042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
146,6736.68,1019.6,182217.27,16,73,0,72,1,0.02,1.0,0.123734,0.359475,0.975,0.56413,0.0,0.0,0.0,89,9.026072908,9.03258,0.0,0.006507092,1.0,0.027084248,0.0,0.0,0.0,1.0,0.0,1.0,0.027084,0.027084,0.027084,0.0,0.0,0.0,0.0,1.0
