x,y,ppscore,case,is_valid_score,metric,baseline_score,model_score,model
transaction_time__avg min between sent tnx,ether__total ether sent contracts,0.0,regression,True,mean absolute error,1.52057426e-05,4.1617227800000005e-05,DecisionTreeRegressor()
transaction_time__avg min between sent tnx,ether__total ether balance,0.0,regression,True,mean absolute error,7919.4821369377005,15783.22530800667,DecisionTreeRegressor()
transaction_time__avg min between sent tnx,erc20__total erc20 tnxs,0.0,regression,True,mean absolute error,36.1286,66.22644842358784,DecisionTreeRegressor()
transaction_time__avg min between sent tnx,erc20__erc20 total ether received,0.0,regression,True,mean absolute error,214389710.08283842,426317180.3664458,DecisionTreeRegressor()
transaction_time__avg min between sent tnx,erc20__erc20 total ether sent,0.0,regression,True,mean absolute error,1689597.9564837108,2603126.5412159874,DecisionTreeRegressor()
transaction_time__avg min between sent tnx,erc20__erc20 total ether sent contract,0.0,regression,True,mean absolute error,198.9999266200844,396.02199100582567,DecisionTreeRegressor()
transaction_time__avg min between sent tnx,erc20__erc20 uniq sent addr,0.0,regression,True,mean absolute error,5.1286,9.81625155603087,DecisionTreeRegressor()
transaction_time__avg min between sent tnx,erc20_num_of_transactions__erc20 uniq rec addr,0.0,regression,True,mean absolute error,7.2136,11.177234975201788,DecisionTreeRegressor()
transaction_time__avg min between sent tnx,erc20_num_of_transactions__erc20 uniq sent addr.1,0.0,regression,True,mean absolute error,0.003,0.0059578229200174665,DecisionTreeRegressor()
transaction_time__avg min between sent tnx,erc20_num_of_transactions__erc20 uniq rec contract addr,0.0,regression,True,mean absolute error,4.4898,6.364824139681744,DecisionTreeRegressor()
transaction_time__avg min between sent tnx,erc20_value__erc20 min val rec,0.0,regression,True,mean absolute error,362.21000767819993,646.5775204985248,DecisionTreeRegressor()
transaction_time__avg min between sent tnx,erc20_value__erc20 max val rec,0.0,regression,True,mean absolute error,209842133.70919064,418460208.4267459,DecisionTreeRegressor()
transaction_time__avg min between sent tnx,erc20_value__erc20 avg val rec,0.0,regression,True,mean absolute error,4509317.666159256,8958487.503233861,DecisionTreeRegressor()
transaction_time__avg min between sent tnx,erc20_value__erc20 min val sent,0.0,regression,True,mean absolute error,566.6108910718001,1042.5666267604468,DecisionTreeRegressor()
transaction_time__avg min between sent tnx,erc20_value__erc20 max val sent,0.0,regression,True,mean absolute error,644601.3526147179,1079004.4644711488,DecisionTreeRegressor()
transaction_time__avg min between sent tnx,erc20_value__erc20 avg val sent,0.0,regression,True,mean absolute error,35067.75437710199,53400.40497669025,DecisionTreeRegressor()
transaction_time__avg min between sent tnx,erc20__erc20 uniq sent token name,0.0,regression,True,mean absolute error,1.2746,2.0644252770237097,DecisionTreeRegressor()
transaction_time__avg min between sent tnx,erc20__erc20 uniq rec token name,0.0,regression,True,mean absolute error,4.4156,6.239162074343817,DecisionTreeRegressor()
transaction_time__avg min between sent tnx,token__erc20 most sent token type,0.0,regression,True,mean absolute error,0.1204,0.20231613067507667,DecisionTreeRegressor()
transaction_time__avg min between sent tnx,token__erc20_most_rec_token_type_Blockwell,0.0,regression,True,mean absolute error,0.0774,0.13818594369873455,DecisionTreeRegressor()
transaction_time__avg min between sent tnx,flag,0.0,regression,True,mean absolute error,0.2212,0.30040943672100406,DecisionTreeRegressor()
transaction_time__avg min between received tnx,transaction_time__avg min between sent tnx,0.0,regression,True,mean absolute error,5005.408288,8480.048935157985,DecisionTreeRegressor()
transaction_time__avg min between received tnx,transaction_time__avg min between received tnx,1.0,predict_itself,True,,0.0,1.0,
transaction_time__avg min between received tnx,transaction_time__time diff between first and last (mins),0.031138574060690316,regression,True,mean absolute error,215952.370092,209227.92122230865,DecisionTreeRegressor()
transaction_time__avg min between received tnx,number_of_transactions__sent tnx,0.0,regression,True,mean absolute error,100.9864,183.26900559805904,DecisionTreeRegressor()
transaction_time__avg min between received tnx,number_of_transactions__received tnx,0.0,regression,True,mean absolute error,146.701,221.29029873889937,DecisionTreeRegressor()
transaction_time__avg min between received tnx,number_of_transactions__number of created contracts,0.0,regression,True,mean absolute error,2.6978,6.858641872786866,DecisionTreeRegressor()
transaction_time__avg min between received tnx,number_of_transactions__unique received from addresses,0.0,regression,True,mean absolute error,29.627,50.02147787390711,DecisionTreeRegressor()
transaction_time__avg min between received tnx,number_of_transactions__unique sent to addresses,0.0,regression,True,mean absolute error,22.6334,40.00456548505129,DecisionTreeRegressor()
transaction_time__avg min between received tnx,ether_value__min value received,0.0,regression,True,mean absolute error,44.8763619274,52.457624129005126,DecisionTreeRegressor()
transaction_time__avg min between received tnx,ether_value__max value received,0.0,regression,True,mean absolute error,705.0754316196001,1130.670457632711,DecisionTreeRegressor()
transaction_time__avg min between received tnx,ether_value__avg val received,0.0,regression,True,mean absolute error,127.37483457840001,143.4218766501007,DecisionTreeRegressor()
transaction_time__avg min between received tnx,ether_value__min val sent,0.0,regression,True,mean absolute error,6.0349038804,8.037989154150507,DecisionTreeRegressor()
transaction_time__avg min between received tnx,ether_value__max val sent,0.0,regression,True,mean absolute error,256.50741659420004,416.2699667132648,DecisionTreeRegressor()
transaction_time__avg min between received tnx,ether_value__avg val sent,0.0,regression,True,mean absolute error,43.8688148764,56.35002194069015,DecisionTreeRegressor()
transaction_time__avg min between received tnx,ether_value__min value sent to contract,0.0,regression,True,mean absolute error,6e-06,8e-06,DecisionTreeRegressor()
transaction_time__avg min between received tnx,ether_value__max val sent to contract,0.0,regression,True,mean absolute error,1.52058e-05,2.6411600000000003e-05,DecisionTreeRegressor()
transaction_time__avg min between received tnx,ether_value__avg value sent to contract,0.0,regression,True,mean absolute error,1.06028e-05,1.72056e-05,DecisionTreeRegressor()
transaction_time__avg min between received tnx,number_of_transactions__total transactions (including tnx to create contract,0.0,regression,True,mean absolute error,249.336,382.2813060204602,DecisionTreeRegressor()
transaction_time__avg min between received tnx,ether__total ether sent,0.0,regression,True,mean absolute error,5764.586128715095,12498.647568776269,DecisionTreeRegressor()
transaction_time__avg min between received tnx,ether__total ether received,0.0,regression,True,mean absolute error,11591.290212366648,26514.079891811583,DecisionTreeRegressor()
transaction_time__avg min between received tnx,ether__total ether sent contracts,0.0,regression,True,mean absolute error,1.52057426e-05,2.6411485199999998e-05,DecisionTreeRegressor()
transaction_time__avg min between received tnx,ether__total ether balance,0.0,regression,True,mean absolute error,7919.4821369377005,18293.590787982797,DecisionTreeRegressor()
transaction_time__avg min between received tnx,erc20__total erc20 tnxs,0.0,regression,True,mean absolute error,36.1286,67.29347806467442,DecisionTreeRegressor()
transaction_time__avg min between received tnx,erc20__erc20 total ether received,0.0,regression,True,mean absolute error,214389710.08283842,425900083.6713793,DecisionTreeRegressor()
transaction_time__avg min between received tnx,erc20__erc20 total ether sent,0.0,regression,True,mean absolute error,1689597.9564837108,3502549.7330134427,DecisionTreeRegressor()
transaction_time__avg min between received tnx,erc20__erc20 total ether sent contract,0.0,regression,True,mean absolute error,198.9999266200844,525.527391812192,DecisionTreeRegressor()
transaction_time__avg min between received tnx,erc20__erc20 uniq sent addr,0.0,regression,True,mean absolute error,5.1286,9.800321754873158,DecisionTreeRegressor()
transaction_time__avg min between received tnx,erc20_num_of_transactions__erc20 uniq rec addr,0.0,regression,True,mean absolute error,7.2136,13.520093093995664,DecisionTreeRegressor()
transaction_time__avg min between received tnx,erc20_num_of_transactions__erc20 uniq sent addr.1,0.0,regression,True,mean absolute error,0.003,0.006233333333333333,DecisionTreeRegressor()
transaction_time__avg min between received tnx,erc20_num_of_transactions__erc20 uniq rec contract addr,0.0,regression,True,mean absolute error,4.4898,6.941713470182227,DecisionTreeRegressor()
transaction_time__avg min between received tnx,erc20_value__erc20 min val rec,0.0,regression,True,mean absolute error,362.21000767819993,797.5281866295251,DecisionTreeRegressor()
transaction_time__avg min between received tnx,erc20_value__erc20 max val rec,0.0,regression,True,mean absolute error,209842133.70919064,418366201.9449968,DecisionTreeRegressor()
transaction_time__avg min between received tnx,erc20_value__erc20 avg val rec,0.0,regression,True,mean absolute error,4509317.666159256,9024542.588763477,DecisionTreeRegressor()
transaction_time__avg min between received tnx,erc20_value__erc20 min val sent,0.0,regression,True,mean absolute error,566.6108910718001,996.7951626335605,DecisionTreeRegressor()
transaction_time__avg min between received tnx,erc20_value__erc20 max val sent,0.0,regression,True,mean absolute error,644601.3526147179,1666753.0907318937,DecisionTreeRegressor()
transaction_time__avg min between received tnx,erc20_value__erc20 avg val sent,0.0,regression,True,mean absolute error,35067.75437710199,67041.33094405814,DecisionTreeRegressor()
transaction_time__avg min between received tnx,erc20__erc20 uniq sent token name,0.0,regression,True,mean absolute error,1.2746,2.269800967116499,DecisionTreeRegressor()
transaction_time__avg min between received tnx,erc20__erc20 uniq rec token name,0.0,regression,True,mean absolute error,4.4156,6.798975964126855,DecisionTreeRegressor()
transaction_time__avg min between received tnx,token__erc20 most sent token type,0.0,regression,True,mean absolute error,0.1204,0.18777297324874606,DecisionTreeRegressor()
transaction_time__avg min between received tnx,token__erc20_most_rec_token_type_Blockwell,0.0,regression,True,mean absolute error,0.0774,0.1319890885588082,DecisionTreeRegressor()
transaction_time__avg min between received tnx,flag,0.0,regression,True,mean absolute error,0.2212,0.27771501415584965,DecisionTreeRegressor()
transaction_time__time diff between first and last (mins),transaction_time__avg min between sent tnx,0.0,regression,True,mean absolute error,5005.408288,8055.233874625397,DecisionTreeRegressor()
transaction_time__time diff between first and last (mins),transaction_time__avg min between received tnx,0.0,regression,True,mean absolute error,8417.044038,10718.606569846825,DecisionTreeRegressor()
transaction_time__time diff between first and last (mins),transaction_time__time diff between first and last (mins),1.0,predict_itself,True,,0.0,1.0,
transaction_time__time diff between first and last (mins),number_of_transactions__sent tnx,0.0,regression,True,mean absolute error,100.9864,162.72006532052987,DecisionTreeRegressor()
transaction_time__time diff between first and last (mins),number_of_transactions__received tnx,0.0,regression,True,mean absolute error,146.701,250.91239143060787,DecisionTreeRegressor()
transaction_time__time diff between first and last (mins),number_of_transactions__number of created contracts,0.0,regression,True,mean absolute error,2.6978,4.301803864150755,DecisionTreeRegressor()
transaction_time__time diff between first and last (mins),number_of_transactions__unique received from addresses,0.0,regression,True,mean absolute error,29.627,55.94650476394121,DecisionTreeRegressor()
transaction_time__time diff between first and last (mins),number_of_transactions__unique sent to addresses,0.0,regression,True,mean absolute error,22.6334,36.25069286021242,DecisionTreeRegressor()
transaction_time__time diff between first and last (mins),ether_value__min value received,0.0,regression,True,mean absolute error,44.8763619274,45.048834970427734,DecisionTreeRegressor()
transaction_time__time diff between first and last (mins),ether_value__max value received,0.0,regression,True,mean absolute error,705.0754316196001,1521.6867794553805,DecisionTreeRegressor()
transaction_time__time diff between first and last (mins),ether_value__avg val received,0.0,regression,True,mean absolute error,127.37483457840001,238.4059423391747,DecisionTreeRegressor()
transaction_time__time diff between first and last (mins),ether_value__min val sent,0.0,regression,True,mean absolute error,6.0349038804,13.060814272040762,DecisionTreeRegressor()
transaction_time__time diff between first and last (mins),ether_value__max val sent,0.0,regression,True,mean absolute error,256.50741659420004,626.8008661585276,DecisionTreeRegressor()
transaction_time__time diff between first and last (mins),ether_value__avg val sent,0.0,regression,True,mean absolute error,43.8688148764,44.761854183865445,DecisionTreeRegressor()
transaction_time__time diff between first and last (mins),ether_value__min value sent to contract,0.0,regression,True,mean absolute error,6e-06,9.999999999999999e-06,DecisionTreeRegressor()
transaction_time__time diff between first and last (mins),ether_value__max val sent to contract,0.0,regression,True,mean absolute error,1.52058e-05,1.92058e-05,DecisionTreeRegressor()
transaction_time__time diff between first and last (mins),ether_value__avg value sent to contract,0.0,regression,True,mean absolute error,1.06028e-05,1.46028e-05,DecisionTreeRegressor()
transaction_time__time diff between first and last (mins),number_of_transactions__total transactions (including tnx to create contract,0.0,regression,True,mean absolute error,249.336,395.6217805126888,DecisionTreeRegressor()
transaction_time__time diff between first and last (mins),ether__total ether sent,0.0,regression,True,mean absolute error,5764.586128715095,15543.404338346512,DecisionTreeRegressor()
transaction_time__time diff between first and last (mins),ether__total ether received,0.0,regression,True,mean absolute error,11591.290212366648,22514.09202627273,DecisionTreeRegressor()
transaction_time__time diff between first and last (mins),ether__total ether sent contracts,0.0,regression,True,mean absolute error,1.52057426e-05,1.9205742600000003e-05,DecisionTreeRegressor()
transaction_time__time diff between first and last (mins),ether__total ether balance,0.0,regression,True,mean absolute error,7919.4821369377005,12095.308195008123,DecisionTreeRegressor()
transaction_time__time diff between first and last (mins),erc20__total erc20 tnxs,0.0,regression,True,mean absolute error,36.1286,72.90109176582762,DecisionTreeRegressor()
transaction_time__time diff between first and last (mins),erc20__erc20 total ether received,0.0,regression,True,mean absolute error,214389710.08283842,827619640.6335484,DecisionTreeRegressor()
transaction_time__time diff between first and last (mins),erc20__erc20 total ether sent,0.0,regression,True,mean absolute error,1689597.9564837108,3387764.184232669,DecisionTreeRegressor()
transaction_time__time diff between first and last (mins),erc20__erc20 total ether sent contract,0.0,regression,True,mean absolute error,198.9999266200844,398.80284929438596,DecisionTreeRegressor()
transaction_time__time diff between first and last (mins),erc20__erc20 uniq sent addr,0.0,regression,True,mean absolute error,5.1286,8.18779797426567,DecisionTreeRegressor()
transaction_time__time diff between first and last (mins),erc20_num_of_transactions__erc20 uniq rec addr,0.0,regression,True,mean absolute error,7.2136,10.683636884057972,DecisionTreeRegressor()
transaction_time__time diff between first and last (mins),erc20_num_of_transactions__erc20 uniq sent addr.1,0.0,regression,True,mean absolute error,0.003,0.007600000000000001,DecisionTreeRegressor()
transaction_time__time diff between first and last (mins),erc20_num_of_transactions__erc20 uniq rec contract addr,0.0,regression,True,mean absolute error,4.4898,6.595058333333334,DecisionTreeRegressor()
transaction_time__time diff between first and last (mins),erc20_value__erc20 min val rec,0.0,regression,True,mean absolute error,362.21000767819993,898.035239925111,DecisionTreeRegressor()
transaction_time__time diff between first and last (mins),erc20_value__erc20 max val rec,0.0,regression,True,mean absolute error,209842133.70919064,816905623.018035,DecisionTreeRegressor()
transaction_time__time diff between first and last (mins),erc20_value__erc20 avg val rec,0.0,regression,True,mean absolute error,4509317.666159256,15573310.87832334,DecisionTreeRegressor()
transaction_time__time diff between first and last (mins),erc20_value__erc20 min val sent,0.0,regression,True,mean absolute error,566.6108910718001,1051.6907184079764,DecisionTreeRegressor()
transaction_time__time diff between first and last (mins),erc20_value__erc20 max val sent,0.0,regression,True,mean absolute error,644601.3526147179,1321238.8652776864,DecisionTreeRegressor()
transaction_time__time diff between first and last (mins),erc20_value__erc20 avg val sent,0.0,regression,True,mean absolute error,35067.75437710199,70630.59539133772,DecisionTreeRegressor()
transaction_time__time diff between first and last (mins),erc20__erc20 uniq sent token name,0.0,regression,True,mean absolute error,1.2746,2.1089979742656713,DecisionTreeRegressor()
transaction_time__time diff between first and last (mins),erc20__erc20 uniq rec token name,0.0,regression,True,mean absolute error,4.4156,6.459858333333333,DecisionTreeRegressor()
transaction_time__time diff between first and last (mins),token__erc20 most sent token type,0.0,regression,True,mean absolute error,0.1204,0.16210937296019806,DecisionTreeRegressor()
transaction_time__time diff between first and last (mins),token__erc20_most_rec_token_type_Blockwell,0.0,regression,True,mean absolute error,0.0774,0.11308231896562504,DecisionTreeRegressor()
transaction_time__time diff between first and last (mins),flag,0.17255983368112005,regression,True,mean absolute error,0.2212,0.18302976478973626,DecisionTreeRegressor()
number_of_transactions__sent tnx,transaction_time__avg min between sent tnx,0.0,regression,True,mean absolute error,5005.408288,7234.052296410487,DecisionTreeRegressor()
number_of_transactions__sent tnx,transaction_time__avg min between received tnx,0.0,regression,True,mean absolute error,8417.044038,10128.340491149102,DecisionTreeRegressor()
number_of_transactions__sent tnx,transaction_time__time diff between first and last (mins),0.24657651619808962,regression,True,mean absolute error,215952.370092,162703.5870099941,DecisionTreeRegressor()
number_of_transactions__sent tnx,number_of_transactions__sent tnx,1.0,predict_itself,True,,0.0,1.0,
number_of_transactions__sent tnx,number_of_transactions__received tnx,0.0,regression,True,mean absolute error,146.701,206.87011508763075,DecisionTreeRegressor()
number_of_transactions__sent tnx,number_of_transactions__number of created contracts,0.0,regression,True,mean absolute error,2.6978,3.1826705303747564,DecisionTreeRegressor()
number_of_transactions__sent tnx,number_of_transactions__unique received from addresses,0.0,regression,True,mean absolute error,29.627,52.12217769902887,DecisionTreeRegressor()
number_of_transactions__sent tnx,number_of_transactions__unique sent to addresses,0.0,regression,True,mean absolute error,22.6334,28.090900613698324,DecisionTreeRegressor()
number_of_transactions__sent tnx,ether_value__min value received,0.0,regression,True,mean absolute error,44.8763619274,62.58818890525438,DecisionTreeRegressor()
number_of_transactions__sent tnx,ether_value__max value received,0.0,regression,True,mean absolute error,705.0754316196001,1814.3874830001225,DecisionTreeRegressor()
number_of_transactions__sent tnx,ether_value__avg val received,0.0,regression,True,mean absolute error,127.37483457840001,381.65629839250147,DecisionTreeRegressor()
number_of_transactions__sent tnx,ether_value__min val sent,0.0,regression,True,mean absolute error,6.0349038804,9.45816061950973,DecisionTreeRegressor()
number_of_transactions__sent tnx,ether_value__max val sent,0.0,regression,True,mean absolute error,256.50741659420004,496.0946664156744,DecisionTreeRegressor()
number_of_transactions__sent tnx,ether_value__avg val sent,0.0,regression,True,mean absolute error,43.8688148764,61.91773513847283,DecisionTreeRegressor()
number_of_transactions__sent tnx,ether_value__min value sent to contract,0.0,regression,True,mean absolute error,6e-06,1.4e-05,DecisionTreeRegressor()
number_of_transactions__sent tnx,ether_value__max val sent to contract,0.0,regression,True,mean absolute error,1.52058e-05,5.08232e-05,DecisionTreeRegressor()
number_of_transactions__sent tnx,ether_value__avg value sent to contract,0.0,regression,True,mean absolute error,1.06028e-05,3.24112e-05,DecisionTreeRegressor()
number_of_transactions__sent tnx,number_of_transactions__total transactions (including tnx to create contract,0.16191192257972764,regression,True,mean absolute error,249.336,208.96552887166104,DecisionTreeRegressor()
number_of_transactions__sent tnx,ether__total ether sent,0.0,regression,True,mean absolute error,5764.586128715095,13815.414071334415,DecisionTreeRegressor()
number_of_transactions__sent tnx,ether__total ether received,0.0,regression,True,mean absolute error,11591.290212366648,23836.47672439307,DecisionTreeRegressor()
number_of_transactions__sent tnx,ether__total ether sent contracts,0.0,regression,True,mean absolute error,1.52057426e-05,5.082297040000001e-05,DecisionTreeRegressor()
number_of_transactions__sent tnx,ether__total ether balance,0.0,regression,True,mean absolute error,7919.4821369377005,17219.69759007834,DecisionTreeRegressor()
number_of_transactions__sent tnx,erc20__total erc20 tnxs,0.0,regression,True,mean absolute error,36.1286,49.73002217252945,DecisionTreeRegressor()
number_of_transactions__sent tnx,erc20__erc20 total ether received,0.0,regression,True,mean absolute error,214389710.08283842,424417986.73832905,DecisionTreeRegressor()
number_of_transactions__sent tnx,erc20__erc20 total ether sent,0.0,regression,True,mean absolute error,1689597.9564837108,3055848.0804737974,DecisionTreeRegressor()
number_of_transactions__sent tnx,erc20__erc20 total ether sent contract,0.0,regression,True,mean absolute error,198.9999266200844,395.6590965139972,DecisionTreeRegressor()
number_of_transactions__sent tnx,erc20__erc20 uniq sent addr,0.0,regression,True,mean absolute error,5.1286,7.151701599735908,DecisionTreeRegressor()
number_of_transactions__sent tnx,erc20_num_of_transactions__erc20 uniq rec addr,0.0,regression,True,mean absolute error,7.2136,8.940536091542016,DecisionTreeRegressor()
number_of_transactions__sent tnx,erc20_num_of_transactions__erc20 uniq sent addr.1,0.0,regression,True,mean absolute error,0.003,0.005923722398732784,DecisionTreeRegressor()
number_of_transactions__sent tnx,erc20_num_of_transactions__erc20 uniq rec contract addr,0.0,regression,True,mean absolute error,4.4898,5.906835157470231,DecisionTreeRegressor()
number_of_transactions__sent tnx,erc20_value__erc20 min val rec,0.0,regression,True,mean absolute error,362.21000767819993,709.2567640544222,DecisionTreeRegressor()
number_of_transactions__sent tnx,erc20_value__erc20 max val rec,0.0,regression,True,mean absolute error,209842133.70919064,414397529.39202404,DecisionTreeRegressor()
number_of_transactions__sent tnx,erc20_value__erc20 avg val rec,0.0,regression,True,mean absolute error,4509317.666159256,8458129.688212378,DecisionTreeRegressor()
number_of_transactions__sent tnx,erc20_value__erc20 min val sent,0.0,regression,True,mean absolute error,566.6108910718001,1184.8701645691056,DecisionTreeRegressor()
number_of_transactions__sent tnx,erc20_value__erc20 max val sent,0.0,regression,True,mean absolute error,644601.3526147179,1410167.392792748,DecisionTreeRegressor()
number_of_transactions__sent tnx,erc20_value__erc20 avg val sent,0.0,regression,True,mean absolute error,35067.75437710199,59590.73007188593,DecisionTreeRegressor()
number_of_transactions__sent tnx,erc20__erc20 uniq sent token name,0.0,regression,True,mean absolute error,1.2746,1.8425775480753224,DecisionTreeRegressor()
number_of_transactions__sent tnx,erc20__erc20 uniq rec token name,0.0,regression,True,mean absolute error,4.4156,5.782234512211534,DecisionTreeRegressor()
number_of_transactions__sent tnx,token__erc20 most sent token type,0.0,regression,True,mean absolute error,0.1204,0.19715848505232214,DecisionTreeRegressor()
number_of_transactions__sent tnx,token__erc20_most_rec_token_type_Blockwell,0.0,regression,True,mean absolute error,0.0774,0.13439465079177965,DecisionTreeRegressor()
number_of_transactions__sent tnx,flag,0.0,regression,True,mean absolute error,0.2212,0.3016515269193145,DecisionTreeRegressor()
number_of_transactions__received tnx,transaction_time__avg min between sent tnx,0.0,regression,True,mean absolute error,5005.408288,7799.831018079673,DecisionTreeRegressor()
number_of_transactions__received tnx,transaction_time__avg min between received tnx,0.0,regression,True,mean absolute error,8417.044038,8968.734566164305,DecisionTreeRegressor()
number_of_transactions__received tnx,transaction_time__time diff between first and last (mins),0.1930421364595133,regression,True,mean absolute error,215952.370092,174264.46319594482,DecisionTreeRegressor()
number_of_transactions__received tnx,number_of_transactions__sent tnx,0.0,regression,True,mean absolute error,100.9864,160.44422285389828,DecisionTreeRegressor()
number_of_transactions__received tnx,number_of_transactions__received tnx,1.0,predict_itself,True,,0.0,1.0,
number_of_transactions__received tnx,number_of_transactions__number of created contracts,0.0,regression,True,mean absolute error,2.6978,5.222664508347169,DecisionTreeRegressor()
number_of_transactions__received tnx,number_of_transactions__unique received from addresses,0.13598509757636013,regression,True,mean absolute error,29.627,25.598169514105177,DecisionTreeRegressor()
number_of_transactions__received tnx,number_of_transactions__unique sent to addresses,0.0,regression,True,mean absolute error,22.6334,42.26489834256864,DecisionTreeRegressor()
number_of_transactions__received tnx,ether_value__min value received,0.0,regression,True,mean absolute error,44.8763619274,61.09017788174311,DecisionTreeRegressor()
number_of_transactions__received tnx,ether_value__max value received,0.0,regression,True,mean absolute error,705.0754316196001,1107.8437718654336,DecisionTreeRegressor()
number_of_transactions__received tnx,ether_value__avg val received,0.0,regression,True,mean absolute error,127.37483457840001,211.80251404088037,DecisionTreeRegressor()
number_of_transactions__received tnx,ether_value__min val sent,0.0,regression,True,mean absolute error,6.0349038804,9.824009408158009,DecisionTreeRegressor()
number_of_transactions__received tnx,ether_value__max val sent,0.0,regression,True,mean absolute error,256.50741659420004,397.54336513950983,DecisionTreeRegressor()
number_of_transactions__received tnx,ether_value__avg val sent,0.0,regression,True,mean absolute error,43.8688148764,62.41436979173122,DecisionTreeRegressor()
number_of_transactions__received tnx,ether_value__min value sent to contract,0.0,regression,True,mean absolute error,6e-06,9.50233918128655e-06,DecisionTreeRegressor()
number_of_transactions__received tnx,ether_value__max val sent to contract,0.0,regression,True,mean absolute error,1.52058e-05,2.4406967752715122e-05,DecisionTreeRegressor()
number_of_transactions__received tnx,ether_value__avg value sent to contract,0.0,regression,True,mean absolute error,1.06028e-05,1.695449156223893e-05,DecisionTreeRegressor()
number_of_transactions__received tnx,number_of_transactions__total transactions (including tnx to create contract,0.3373871873034848,regression,True,mean absolute error,249.336,165.2132282664983,DecisionTreeRegressor()
number_of_transactions__received tnx,ether__total ether sent,0.0,regression,True,mean absolute error,5764.586128715095,12301.464458225737,DecisionTreeRegressor()
number_of_transactions__received tnx,ether__total ether received,0.0,regression,True,mean absolute error,11591.290212366648,20209.641521241996,DecisionTreeRegressor()
number_of_transactions__received tnx,ether__total ether sent contracts,0.0,regression,True,mean absolute error,1.52057426e-05,2.4406874819381788e-05,DecisionTreeRegressor()
number_of_transactions__received tnx,ether__total ether balance,0.0,regression,True,mean absolute error,7919.4821369377005,15403.040724017259,DecisionTreeRegressor()
number_of_transactions__received tnx,erc20__total erc20 tnxs,0.0,regression,True,mean absolute error,36.1286,62.01185898361476,DecisionTreeRegressor()
number_of_transactions__received tnx,erc20__erc20 total ether received,0.0,regression,True,mean absolute error,214389710.08283842,426676298.09061486,DecisionTreeRegressor()
number_of_transactions__received tnx,erc20__erc20 total ether sent,0.0,regression,True,mean absolute error,1689597.9564837108,2894205.914121919,DecisionTreeRegressor()
number_of_transactions__received tnx,erc20__erc20 total ether sent contract,0.0,regression,True,mean absolute error,198.9999266200844,301.7484809712235,DecisionTreeRegressor()
number_of_transactions__received tnx,erc20__erc20 uniq sent addr,0.0,regression,True,mean absolute error,5.1286,9.108492033673855,DecisionTreeRegressor()
